feature,mean_abs_shap
price_return_6m,0.13615552
price_volatility_60d,0.099230886
price_return_3m,0.07550144
market_cap_log,0.026657341
promoter_holding_pct,0.022655413
overall_distress_score,0.01746862
price_vs_52w_high,0.013337388
pledge_pct_4q_max,0.008982883
pledge_pct_total,0.0060669133
guidance_vagueness_score,0.0056700553
debt_mention_count,0.0054699495
liquidity_stress_mentions,0.0052732485
volume_spike_flag,0.0043429984
analyst_tension_score,0.0022598049
pledge_rising_3q,0.0
pledge_pct_vs_4q_max,0.0
pledge_acceleration,0.0
pledge_pct_promoter,0.0
pledge_change_1q,0.0
pledge_change_2q,0.0
pledge_high_flag,0.0
debt_to_equity,0.0
evasiveness_score,0.0
revenue_growth_yoy,0.0
roe_ttm,0.0
current_ratio,0.0
interest_coverage,0.0
confidence_score,0.0
reassurance_score,0.0
tone_shift_flag,0.0
