nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
ADANIENT,2015Q1,0.0,,,,
ADANIENT,2015Q2,0.0,,,,
ADANIENT,2015Q3,75.0,,,,
ADANIENT,2015Q4,0.0,,,,
ADANIENT,2016Q1,75.0,,,,
ADANIENT,2016Q2,75.0,,,,
ADANIENT,2016Q3,75.0,,,,
ADANIENT,2016Q4,75.0,,,,
ADANIENT,2017Q1,74.92,,,,
ADANIENT,2017Q2,74.92,,,,
ADANIENT,2017Q3,74.92,,,,
ADANIENT,2017Q4,74.92,,,,
ADANIENT,2018Q1,74.92,253605518.0,41.0838,30.78,
ADANIENT,2018Q2,74.92,297924600.0,48.2648,36.16,
ADANIENT,2018Q3,74.92,247995131.0,40.1762,30.1,
ADANIENT,2018Q4,74.92,,,,
ADANIENT,2019Q1,74.92,213662627.0,34.6103,25.93,
ADANIENT,2019Q2,74.92,262934945.0,42.5921,31.91,
ADANIENT,2019Q3,74.92,248066512.0,40.1895,30.11,
ADANIENT,2019Q4,74.92,242263731.0,39.2419,29.4,
ADANIENT,2020Q1,74.92,267147979.0,43.2728,32.42,
ADANIENT,2020Q2,74.92,169971649.0,27.536,20.63,
ADANIENT,2020Q3,74.92,136807649.0,22.157,16.6,
ADANIENT,2020Q4,74.92,410223646.0,66.4576,49.79,
ADANIENT,2021Q1,74.92,37135164.0,6.0198,4.51,
ADANIENT,2021Q2,74.92,37284564.0,6.0464,4.53,
ADANIENT,2021Q3,74.92,33795264.0,5.4725,4.1,
ADANIENT,2021Q4,74.92,53076709.0,8.5958,6.44,
ADANIENT,2022Q1,72.28,31213353.0,5.2435,3.79,
ADANIENT,2022Q2,72.63,22019934.0,3.6624,2.66,
ADANIENT,2022Q3,72.63,22059334.0,3.6624,2.66,
ADANIENT,2022Q4,74.92,35895269.0,5.8195,4.36,
ADANIENT,2023Q1,67.65,3880701.0,0.7391,0.5,
ADANIENT,2023Q2,72.61,2002000.0,0.3305,0.24,
ADANIENT,2023Q3,72.61,1922000.0,0.3168,0.23,
ADANIENT,2023Q4,69.23,5063338.0,0.9245,0.64,
ADANIENT,2024Q1,74.72,0.0,0.0,0.0,
ADANIENT,2024Q2,74.89,5600000.0,0.8813,0.66,
ADANIENT,2024Q3,73.97,7700000.0,1.2167,0.9,
ADANIENT,2024Q4,72.61,671000.0,0.1102,0.08,
ADANIENT,2025Q1,73.97,,,,
ADANIENT,2025Q2,73.97,,,,
ADANIENT,2025Q3,73.97,,,,
ADANIENT,2025Q4,73.97,7700000.0,1.2167,0.9,
ADANIENT,2026Q4,74.67,,,,
