nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
APLAPOLLO,2015Q1,0.0,,,,
APLAPOLLO,2015Q2,0.0,,,,
APLAPOLLO,2015Q3,40.64,,,,
APLAPOLLO,2015Q4,0.0,,,,
APLAPOLLO,2016Q1,40.64,,,,
APLAPOLLO,2016Q2,38.75,,,,
APLAPOLLO,2016Q3,38.75,,,,
APLAPOLLO,2016Q4,40.64,,,,
APLAPOLLO,2017Q1,37.47,,,,
APLAPOLLO,2017Q2,37.47,,,,
APLAPOLLO,2017Q3,37.25,,,,
APLAPOLLO,2017Q4,37.47,,,,
APLAPOLLO,2018Q1,37.25,,,,
APLAPOLLO,2018Q2,37.25,,,,
APLAPOLLO,2018Q3,37.25,,,,
APLAPOLLO,2018Q4,37.25,,,,
APLAPOLLO,2019Q1,37.18,,,,
APLAPOLLO,2019Q2,37.18,,,,
APLAPOLLO,2019Q3,38.26,0.0,0.0,0.0,
APLAPOLLO,2019Q4,37.07,,,,
APLAPOLLO,2020Q1,38.4,0.0,0.0,0.0,
APLAPOLLO,2020Q2,39.52,76000.0,1.9484,0.77,
APLAPOLLO,2020Q3,39.47,0.0,0.0,0.0,
APLAPOLLO,2020Q4,38.4,0.0,0.0,0.0,
APLAPOLLO,2021Q1,36.88,0.0,0.0,0.0,
APLAPOLLO,2021Q2,36.84,0.0,0.0,0.0,
APLAPOLLO,2021Q3,34.54,0.0,0.0,0.0,
APLAPOLLO,2021Q4,37.0,0.0,0.0,0.0,
APLAPOLLO,2022Q1,34.52,0.0,0.0,0.0,
APLAPOLLO,2022Q2,34.52,0.0,0.0,0.0,
APLAPOLLO,2022Q3,31.17,0.0,0.0,0.0,
APLAPOLLO,2022Q4,34.52,0.0,0.0,0.0,
APLAPOLLO,2023Q1,30.62,0.0,0.0,0.0,
APLAPOLLO,2023Q2,29.67,0.0,0.0,0.0,
APLAPOLLO,2023Q3,29.57,0.0,0.0,0.0,
APLAPOLLO,2023Q4,31.15,0.0,0.0,0.0,
APLAPOLLO,2024Q1,28.33,0.0,0.0,0.0,
APLAPOLLO,2024Q2,28.32,0.0,0.0,0.0,
APLAPOLLO,2024Q3,28.31,0.0,0.0,0.0,
APLAPOLLO,2024Q4,29.44,0.0,0.0,0.0,
APLAPOLLO,2025Q1,28.31,,,,
APLAPOLLO,2025Q2,28.3,,,,
APLAPOLLO,2025Q3,28.27,,,,
APLAPOLLO,2025Q4,28.31,,,,
APLAPOLLO,2026Q4,28.25,,,,
