nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
ASHOKLEY,2015Q1,0.0,,,,
ASHOKLEY,2015Q2,0.0,,,,
ASHOKLEY,2015Q3,50.38,,,,
ASHOKLEY,2015Q4,0.0,,,,
ASHOKLEY,2016Q1,50.38,,,,
ASHOKLEY,2016Q2,50.38,,,,
ASHOKLEY,2016Q3,50.38,,,,
ASHOKLEY,2016Q4,50.38,,,,
ASHOKLEY,2017Q1,51.29,,,,
ASHOKLEY,2017Q2,51.29,,,,
ASHOKLEY,2017Q3,51.27,,,,
ASHOKLEY,2017Q4,50.38,,,,
ASHOKLEY,2018Q1,51.13,55000000.0,7.1778,3.67,
ASHOKLEY,2018Q2,51.12,55000000.0,7.1792,3.67,
ASHOKLEY,2018Q3,51.12,65000000.0,8.4703,4.33,
ASHOKLEY,2018Q4,51.27,55000000.0,7.1582,3.67,
ASHOKLEY,2019Q1,51.12,139000000.0,18.1142,9.26,
ASHOKLEY,2019Q2,51.12,139000000.0,18.1142,9.26,
ASHOKLEY,2019Q3,51.12,139000000.0,18.1142,9.26,
ASHOKLEY,2019Q4,51.12,100000000.0,13.0282,6.66,
ASHOKLEY,2020Q1,51.54,163200000.0,21.1098,10.88,
ASHOKLEY,2020Q2,51.54,163200000.0,21.1098,10.88,
ASHOKLEY,2020Q3,51.54,163200000.0,21.1098,10.88,
ASHOKLEY,2020Q4,51.54,139000000.0,17.9666,9.26,
ASHOKLEY,2021Q1,51.54,216660000.0,28.0171,14.44,
ASHOKLEY,2021Q2,51.54,,,,
ASHOKLEY,2021Q3,51.54,261160000.0,33.7602,17.4,
ASHOKLEY,2021Q4,51.54,264360000.0,34.187,17.62,
ASHOKLEY,2022Q1,51.54,285660000.0,36.9422,19.04,
ASHOKLEY,2022Q2,51.54,285660000.0,36.9422,19.04,
ASHOKLEY,2022Q3,51.53,285660000.0,36.9493,19.04,
ASHOKLEY,2022Q4,51.54,267660000.0,34.6139,17.84,
ASHOKLEY,2023Q1,51.53,,,,
ASHOKLEY,2023Q2,51.53,225660000.0,29.1869,15.04,
ASHOKLEY,2023Q3,51.53,225660000.0,29.1869,15.04,
ASHOKLEY,2023Q4,51.53,285660000.0,36.9493,19.04,
ASHOKLEY,2024Q1,51.52,331660000.0,42.896,22.1,
ASHOKLEY,2024Q2,51.52,408660000.0,52.8533,27.23,
ASHOKLEY,2024Q3,51.52,451660000.0,58.4239,30.1,
ASHOKLEY,2024Q4,51.52,331660000.0,42.896,22.1,
ASHOKLEY,2025Q1,51.52,,,,
ASHOKLEY,2025Q2,51.51,,,,
ASHOKLEY,2025Q3,51.51,,,,
ASHOKLEY,2025Q4,51.52,617500000.0,79.8719,41.15,
