nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
AUROPHARMA,2015Q1,0.0,,,,
AUROPHARMA,2015Q2,0.0,,,,
AUROPHARMA,2015Q3,53.9,,,,
AUROPHARMA,2015Q4,0.0,,,,
AUROPHARMA,2016Q1,53.79,,,,
AUROPHARMA,2016Q2,53.79,,,,
AUROPHARMA,2016Q3,51.94,,,,
AUROPHARMA,2016Q4,53.79,,,,
AUROPHARMA,2017Q1,51.87,,,,
AUROPHARMA,2017Q2,51.87,,,,
AUROPHARMA,2017Q3,51.87,,,,
AUROPHARMA,2017Q4,51.87,,,,
AUROPHARMA,2018Q1,51.87,6353000.0,4.0293,2.09,
AUROPHARMA,2018Q2,51.87,6703000.0,4.2607,2.21,
AUROPHARMA,2018Q3,51.87,7003000.0,4.4342,2.3,
AUROPHARMA,2018Q4,51.87,,,,
AUROPHARMA,2019Q1,51.87,11623000.0,7.3646,3.82,
AUROPHARMA,2019Q2,51.87,12773000.0,8.0972,4.2,
AUROPHARMA,2019Q3,51.87,15158000.0,9.6202,4.99,
AUROPHARMA,2019Q4,51.87,10603000.0,6.7284,3.49,
AUROPHARMA,2020Q1,52.01,18808000.0,11.8631,6.17,
AUROPHARMA,2020Q2,52.01,28468000.0,17.9581,9.34,
AUROPHARMA,2020Q3,51.94,28224000.0,17.8475,9.27,
AUROPHARMA,2020Q4,52.01,18808000.0,11.8631,6.17,
AUROPHARMA,2021Q1,51.83,62739862.0,39.8611,20.66,
AUROPHARMA,2021Q2,51.83,69789365.0,44.3373,22.98,
AUROPHARMA,2021Q3,51.83,69769365.0,44.318,22.97,
AUROPHARMA,2021Q4,51.94,69419862.0,43.9161,22.81,
AUROPHARMA,2022Q1,51.83,45478862.0,28.8829,14.97,
AUROPHARMA,2022Q2,51.83,45328862.0,28.7864,14.92,
AUROPHARMA,2022Q3,51.83,49058862.0,31.1596,16.15,
AUROPHARMA,2022Q4,51.83,42678862.0,27.1079,14.05,
AUROPHARMA,2023Q1,51.83,58203862.0,36.967,19.16,
AUROPHARMA,2023Q2,51.83,59403862.0,37.7388,19.56,
AUROPHARMA,2023Q3,51.83,57403862.0,36.4654,18.9,
AUROPHARMA,2023Q4,51.83,54358862.0,34.536,17.9,
AUROPHARMA,2024Q1,51.8,63368000.0,40.3089,20.88,
AUROPHARMA,2024Q2,51.82,61360000.0,39.3477,20.39,
AUROPHARMA,2024Q3,51.82,53660000.0,34.4076,17.83,
AUROPHARMA,2024Q4,51.83,63368000.0,40.247,20.86,
AUROPHARMA,2025Q1,51.82,,,,
AUROPHARMA,2025Q2,51.82,,,,
AUROPHARMA,2025Q3,51.82,,,,
AUROPHARMA,2025Q4,51.82,50910000.0,32.6515,16.92,
AUROPHARMA,2026Q4,51.82,,,,
