nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
BAJAJHLDNG,2015Q1,0.0,,,,
BAJAJHLDNG,2015Q2,0.0,,,,
BAJAJHLDNG,2015Q3,42.26,,,,
BAJAJHLDNG,2015Q4,0.0,,,,
BAJAJHLDNG,2016Q1,42.34,,,,
BAJAJHLDNG,2016Q2,42.51,,,,
BAJAJHLDNG,2016Q3,43.81,,,,
BAJAJHLDNG,2016Q4,42.34,,,,
BAJAJHLDNG,2017Q1,43.74,,,,
BAJAJHLDNG,2017Q2,44.25,,,,
BAJAJHLDNG,2017Q3,44.25,,,,
BAJAJHLDNG,2017Q4,43.77,,,,
BAJAJHLDNG,2018Q1,45.56,,,,
BAJAJHLDNG,2018Q2,45.87,,,,
BAJAJHLDNG,2018Q3,46.41,,,,
BAJAJHLDNG,2018Q4,44.32,,,,
BAJAJHLDNG,2019Q1,49.56,,,,
BAJAJHLDNG,2019Q2,49.56,,,,
BAJAJHLDNG,2019Q3,49.56,0.0,0.0,0.0,
BAJAJHLDNG,2019Q4,49.03,,,,
BAJAJHLDNG,2020Q1,49.91,0.0,0.0,0.0,
BAJAJHLDNG,2020Q2,49.94,0.0,0.0,0.0,
BAJAJHLDNG,2020Q3,49.95,0.0,0.0,0.0,
BAJAJHLDNG,2020Q4,49.91,0.0,0.0,0.0,
BAJAJHLDNG,2021Q1,49.95,0.0,0.0,0.0,
BAJAJHLDNG,2021Q2,50.07,334.0,0.0,0.0,
BAJAJHLDNG,2021Q3,50.48,334.0,0.0,0.0,
BAJAJHLDNG,2021Q4,49.95,0.0,0.0,0.0,
BAJAJHLDNG,2022Q1,51.2,334.0,0.0,0.0,
BAJAJHLDNG,2022Q2,51.2,334.0,0.0,0.0,
BAJAJHLDNG,2022Q3,51.36,334.0,0.0,0.0,
BAJAJHLDNG,2022Q4,51.09,334.0,0.0,0.0,
BAJAJHLDNG,2023Q1,51.46,334.0,0.0,0.0,
BAJAJHLDNG,2023Q2,51.46,334.0,0.0,0.0,
BAJAJHLDNG,2023Q3,51.46,334.0,0.0,0.0,
BAJAJHLDNG,2023Q4,51.46,334.0,0.0,0.0,
BAJAJHLDNG,2024Q1,51.46,334.0,0.0,0.0,
BAJAJHLDNG,2024Q2,51.46,334.0,0.0,0.0,
BAJAJHLDNG,2024Q3,51.46,334.0,0.0,0.0,
BAJAJHLDNG,2024Q4,51.46,334.0,0.0,0.0,
BAJAJHLDNG,2025Q1,51.46,,,,
BAJAJHLDNG,2025Q2,51.46,,,,
BAJAJHLDNG,2025Q3,51.46,,,,
BAJAJHLDNG,2025Q4,51.46,334.0,0.0,0.0,
