nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
BALKRISIND,2015Q1,0.0,,,,
BALKRISIND,2015Q2,0.0,,,,
BALKRISIND,2015Q3,58.3,,,,
BALKRISIND,2015Q4,0.0,,,,
BALKRISIND,2016Q1,58.3,,,,
BALKRISIND,2016Q2,58.3,,,,
BALKRISIND,2016Q3,58.3,,,,
BALKRISIND,2016Q4,58.3,,,,
BALKRISIND,2017Q1,54.37,,,,
BALKRISIND,2017Q2,54.37,,,,
BALKRISIND,2017Q3,58.3,,,,
BALKRISIND,2017Q4,54.37,,,,
BALKRISIND,2018Q1,58.3,,,,
BALKRISIND,2018Q2,58.3,,,,
BALKRISIND,2018Q3,58.3,,,,
BALKRISIND,2018Q4,58.3,,,,
BALKRISIND,2019Q1,58.3,,,,
BALKRISIND,2019Q2,58.3,,,,
BALKRISIND,2019Q3,58.3,0.0,0.0,0.0,
BALKRISIND,2019Q4,58.3,,,,
BALKRISIND,2020Q1,58.3,0.0,0.0,0.0,
BALKRISIND,2020Q2,58.3,0.0,0.0,0.0,
BALKRISIND,2020Q3,58.3,0.0,0.0,0.0,
BALKRISIND,2020Q4,58.3,0.0,0.0,0.0,
BALKRISIND,2021Q1,58.3,0.0,0.0,0.0,
BALKRISIND,2021Q2,58.3,0.0,0.0,0.0,
BALKRISIND,2021Q3,58.29,0.0,0.0,0.0,
BALKRISIND,2021Q4,58.3,0.0,0.0,0.0,
BALKRISIND,2022Q1,58.29,0.0,0.0,0.0,
BALKRISIND,2022Q2,58.29,0.0,0.0,0.0,
BALKRISIND,2022Q3,58.29,0.0,0.0,0.0,
BALKRISIND,2022Q4,58.29,0.0,0.0,0.0,
BALKRISIND,2023Q1,58.29,0.0,0.0,0.0,
BALKRISIND,2023Q2,58.29,0.0,0.0,0.0,
BALKRISIND,2023Q3,58.29,0.0,0.0,0.0,
BALKRISIND,2023Q4,58.29,0.0,0.0,0.0,
BALKRISIND,2024Q1,58.29,0.0,0.0,0.0,
BALKRISIND,2024Q2,58.29,0.0,0.0,0.0,
BALKRISIND,2024Q3,58.29,0.0,0.0,0.0,
BALKRISIND,2024Q4,58.29,0.0,0.0,0.0,
BALKRISIND,2025Q1,58.29,,,,
BALKRISIND,2025Q2,58.29,,,,
BALKRISIND,2025Q3,58.29,,,,
BALKRISIND,2025Q4,58.29,0.0,0.0,0.0,
