nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
BHARATFORG,2015Q1,0.0,,,,
BHARATFORG,2015Q2,0.0,,,,
BHARATFORG,2015Q3,47.24,,,,
BHARATFORG,2015Q4,0.0,,,,
BHARATFORG,2016Q1,47.24,,,,
BHARATFORG,2016Q2,47.24,,,,
BHARATFORG,2016Q3,46.24,,,,
BHARATFORG,2016Q4,47.24,,,,
BHARATFORG,2017Q1,46.24,,,,
BHARATFORG,2017Q2,46.24,,,,
BHARATFORG,2017Q3,45.75,,,,
BHARATFORG,2017Q4,46.24,,,,
BHARATFORG,2018Q1,46.24,,,,
BHARATFORG,2018Q2,46.25,,,,
BHARATFORG,2018Q3,46.25,,,,
BHARATFORG,2018Q4,46.24,,,,
BHARATFORG,2019Q1,46.25,,,,
BHARATFORG,2019Q2,46.25,,,,
BHARATFORG,2019Q3,46.25,0.0,0.0,0.0,
BHARATFORG,2019Q4,46.25,,,,
BHARATFORG,2020Q1,46.25,0.0,0.0,0.0,
BHARATFORG,2020Q2,46.25,0.0,0.0,0.0,
BHARATFORG,2020Q3,46.25,0.0,0.0,0.0,
BHARATFORG,2020Q4,46.25,0.0,0.0,0.0,
BHARATFORG,2021Q1,45.25,0.0,0.0,0.0,
BHARATFORG,2021Q2,45.25,15000000.0,15.9116,7.2,
BHARATFORG,2021Q3,45.25,15000000.0,15.9116,7.2,
BHARATFORG,2021Q4,46.25,0.0,0.0,0.0,
BHARATFORG,2022Q1,45.25,15000000.0,15.7348,7.12,
BHARATFORG,2022Q2,45.25,15000000.0,15.7348,7.12,
BHARATFORG,2022Q3,45.25,15000000.0,15.7348,7.12,
BHARATFORG,2022Q4,45.25,15000000.0,15.7348,7.12,
BHARATFORG,2023Q1,45.25,15000000.0,15.7348,7.12,
BHARATFORG,2023Q2,45.25,15000000.0,15.7348,7.12,
BHARATFORG,2023Q3,45.25,15000000.0,15.7348,7.12,
BHARATFORG,2023Q4,45.25,15000000.0,15.7348,7.12,
BHARATFORG,2024Q1,45.25,0.0,0.0,0.0,
BHARATFORG,2024Q2,45.25,0.0,0.0,0.0,
BHARATFORG,2024Q3,44.07,0.0,0.0,0.0,
BHARATFORG,2024Q4,45.25,630.0,0.0,0.0,
BHARATFORG,2025Q1,44.07,,,,
BHARATFORG,2025Q2,44.07,,,,
BHARATFORG,2025Q3,44.07,,,,
BHARATFORG,2025Q4,44.07,0.0,0.0,0.0,
BHARATFORG,2026Q4,44.07,,,,
