nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
CANBK,2015Q1,0.0,,,,
CANBK,2015Q2,0.0,,,,
CANBK,2015Q3,66.3,,,,
CANBK,2015Q4,0.0,,,,
CANBK,2016Q1,66.3,,,,
CANBK,2016Q2,66.3,,,,
CANBK,2016Q3,66.3,,,,
CANBK,2016Q4,66.3,,,,
CANBK,2017Q1,66.3,,,,
CANBK,2017Q2,66.3,,,,
CANBK,2017Q3,66.3,,,,
CANBK,2017Q4,66.3,,,,
CANBK,2018Q1,72.55,,,,
CANBK,2018Q2,72.55,,,,
CANBK,2018Q3,72.55,,,,
CANBK,2018Q4,72.55,,,,
CANBK,2019Q1,70.62,,,,
CANBK,2019Q2,70.62,,,,
CANBK,2019Q3,78.52,0.0,0.0,0.0,
CANBK,2019Q4,70.62,,,,
CANBK,2020Q1,78.55,0.0,0.0,0.0,
CANBK,2020Q2,78.55,0.0,0.0,0.0,
CANBK,2020Q3,69.33,0.0,0.0,0.0,
CANBK,2020Q4,78.52,0.0,0.0,0.0,
CANBK,2021Q1,69.33,0.0,0.0,0.0,
CANBK,2021Q2,62.93,0.0,0.0,0.0,
CANBK,2021Q3,62.93,0.0,0.0,0.0,
CANBK,2021Q4,69.33,0.0,0.0,0.0,
CANBK,2022Q1,62.93,0.0,0.0,0.0,
CANBK,2022Q2,62.93,0.0,0.0,0.0,
CANBK,2022Q3,62.93,0.0,0.0,0.0,
CANBK,2022Q4,62.93,0.0,0.0,0.0,
CANBK,2023Q1,62.93,0.0,0.0,0.0,
CANBK,2023Q2,62.93,0.0,0.0,0.0,
CANBK,2023Q3,62.93,0.0,0.0,0.0,
CANBK,2023Q4,62.93,0.0,0.0,0.0,
CANBK,2024Q1,62.93,0.0,0.0,0.0,
CANBK,2024Q2,62.93,0.0,0.0,0.0,
CANBK,2024Q3,62.93,0.0,0.0,0.0,
CANBK,2024Q4,62.93,0.0,0.0,0.0,
CANBK,2025Q1,62.93,,,,
CANBK,2025Q2,62.93,,,,
CANBK,2025Q3,62.93,,,,
CANBK,2025Q4,62.93,0.0,0.0,0.0,
CANBK,2026Q4,62.93,,,,
