nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
CANFINHOME,2015Q1,0.0,,,,
CANFINHOME,2015Q2,0.0,,,,
CANFINHOME,2015Q3,43.45,,,,
CANFINHOME,2015Q4,0.0,,,,
CANFINHOME,2016Q1,43.45,,,,
CANFINHOME,2016Q2,43.45,,,,
CANFINHOME,2016Q3,44.1,,,,
CANFINHOME,2016Q4,43.45,,,,
CANFINHOME,2017Q1,30.65,,,,
CANFINHOME,2017Q2,30.7,,,,
CANFINHOME,2017Q3,30.44,,,,
CANFINHOME,2017Q4,30.57,,,,
CANFINHOME,2018Q1,29.99,,,,
CANFINHOME,2018Q2,29.99,,,,
CANFINHOME,2018Q3,29.99,,,,
CANFINHOME,2018Q4,29.99,,,,
CANFINHOME,2019Q1,29.99,,,,
CANFINHOME,2019Q2,29.99,,,,
CANFINHOME,2019Q3,29.99,0.0,0.0,0.0,
CANFINHOME,2019Q4,29.99,,,,
CANFINHOME,2020Q1,29.99,0.0,0.0,0.0,
CANFINHOME,2020Q2,29.99,0.0,0.0,0.0,
CANFINHOME,2020Q3,29.99,0.0,0.0,0.0,
CANFINHOME,2020Q4,29.99,0.0,0.0,0.0,
CANFINHOME,2021Q1,29.99,0.0,0.0,0.0,
CANFINHOME,2021Q2,29.99,0.0,0.0,0.0,
CANFINHOME,2021Q3,29.99,0.0,0.0,0.0,
CANFINHOME,2021Q4,29.99,0.0,0.0,0.0,
CANFINHOME,2022Q1,29.99,0.0,0.0,0.0,
CANFINHOME,2022Q2,29.99,0.0,0.0,0.0,
CANFINHOME,2022Q3,29.99,0.0,0.0,0.0,
CANFINHOME,2022Q4,29.99,0.0,0.0,0.0,
CANFINHOME,2023Q1,29.99,0.0,0.0,0.0,
CANFINHOME,2023Q2,29.99,0.0,0.0,0.0,
CANFINHOME,2023Q3,29.99,0.0,0.0,0.0,
CANFINHOME,2023Q4,29.99,0.0,0.0,0.0,
CANFINHOME,2024Q1,29.99,0.0,0.0,0.0,
CANFINHOME,2024Q2,29.99,0.0,0.0,0.0,
CANFINHOME,2024Q3,29.99,0.0,0.0,0.0,
CANFINHOME,2024Q4,29.99,0.0,0.0,0.0,
CANFINHOME,2025Q1,29.99,,,,
CANFINHOME,2025Q2,29.99,,,,
CANFINHOME,2025Q3,29.99,,,,
CANFINHOME,2025Q4,29.99,0.0,0.0,0.0,
CANFINHOME,2026Q4,29.99,,,,
