nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
CEATLTD,2015Q1,0.0,,,,
CEATLTD,2015Q2,0.0,,,,
CEATLTD,2015Q3,50.76,,,,
CEATLTD,2015Q4,0.0,,,,
CEATLTD,2016Q1,50.76,,,,
CEATLTD,2016Q2,50.76,,,,
CEATLTD,2016Q3,50.76,,,,
CEATLTD,2016Q4,50.76,,,,
CEATLTD,2017Q1,50.76,,,,
CEATLTD,2017Q2,50.76,,,,
CEATLTD,2017Q3,50.76,,,,
CEATLTD,2017Q4,50.76,,,,
CEATLTD,2018Q1,50.76,,,,
CEATLTD,2018Q2,50.98,,,,
CEATLTD,2018Q3,50.98,,,,
CEATLTD,2018Q4,50.76,,,,
CEATLTD,2019Q1,51.08,,,,
CEATLTD,2019Q2,50.52,,,,
CEATLTD,2019Q3,46.68,0.0,0.0,0.0,
CEATLTD,2019Q4,51.08,,,,
CEATLTD,2020Q1,46.69,0.0,0.0,0.0,
CEATLTD,2020Q2,46.82,0.0,0.0,0.0,
CEATLTD,2020Q3,46.82,0.0,0.0,0.0,
CEATLTD,2020Q4,46.69,0.0,0.0,0.0,
CEATLTD,2021Q1,46.82,0.0,0.0,0.0,
CEATLTD,2021Q2,46.82,,,,
CEATLTD,2021Q3,47.11,0.0,0.0,0.0,
CEATLTD,2021Q4,46.82,,,,
CEATLTD,2022Q1,47.21,0.0,0.0,0.0,
CEATLTD,2022Q2,47.21,0.0,0.0,0.0,
CEATLTD,2022Q3,47.21,0.0,0.0,0.0,
CEATLTD,2022Q4,47.11,0.0,0.0,0.0,
CEATLTD,2023Q1,47.21,0.0,0.0,0.0,
CEATLTD,2023Q2,47.21,0.0,0.0,0.0,
CEATLTD,2023Q3,47.21,0.0,0.0,0.0,
CEATLTD,2023Q4,47.21,0.0,0.0,0.0,
CEATLTD,2024Q1,47.21,0.0,0.0,0.0,
CEATLTD,2024Q2,47.21,0.0,0.0,0.0,
CEATLTD,2024Q3,47.21,0.0,0.0,0.0,
CEATLTD,2024Q4,47.21,0.0,0.0,0.0,
CEATLTD,2025Q1,47.21,,,,
CEATLTD,2025Q2,47.21,,,,
CEATLTD,2025Q3,47.21,,,,
CEATLTD,2025Q4,47.21,0.0,0.0,0.0,
