nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
CHAMBLFERT,2015Q1,0.0,,,,
CHAMBLFERT,2015Q2,0.0,,,,
CHAMBLFERT,2015Q3,56.87,,,,
CHAMBLFERT,2015Q4,0.0,,,,
CHAMBLFERT,2016Q1,57.34,,,,
CHAMBLFERT,2016Q2,57.34,,,,
CHAMBLFERT,2016Q3,57.75,,,,
CHAMBLFERT,2016Q4,57.13,,,,
CHAMBLFERT,2017Q1,57.92,,,,
CHAMBLFERT,2017Q2,58.35,,,,
CHAMBLFERT,2017Q3,58.36,,,,
CHAMBLFERT,2017Q4,57.8,,,,
CHAMBLFERT,2018Q1,58.53,1262635.0,0.8884,0.52,
CHAMBLFERT,2018Q2,58.65,1262635.0,0.8866,0.52,
CHAMBLFERT,2018Q3,58.72,1262635.0,0.8856,0.52,
CHAMBLFERT,2018Q4,58.37,1262985.0,0.8909,0.52,
CHAMBLFERT,2019Q1,58.77,28862635.0,20.0783,11.8,
CHAMBLFERT,2019Q2,58.89,46212635.0,32.0088,18.85,
CHAMBLFERT,2019Q3,59.01,52262635.0,36.0617,21.28,
CHAMBLFERT,2019Q4,58.77,1262635.0,0.8848,0.52,
CHAMBLFERT,2020Q1,59.92,62158663.0,41.5888,24.92,
CHAMBLFERT,2020Q2,60.34,54330663.0,35.8469,21.63,
CHAMBLFERT,2020Q3,60.38,48759144.0,32.1298,19.4,
CHAMBLFERT,2020Q4,59.8,62653663.0,42.0903,25.17,
CHAMBLFERT,2021Q1,60.38,47940796.0,31.5999,19.08,
CHAMBLFERT,2021Q2,60.39,45465796.0,29.9553,18.09,
CHAMBLFERT,2021Q3,60.4,48193624.0,31.7384,19.17,
CHAMBLFERT,2021Q4,60.38,52075351.0,34.316,20.72,
CHAMBLFERT,2022Q1,60.48,60903624.0,40.0132,24.2,
CHAMBLFERT,2022Q2,60.48,61203624.0,40.1951,24.31,
CHAMBLFERT,2022Q3,60.56,63073624.0,41.3144,25.02,
CHAMBLFERT,2022Q4,60.46,47453749.0,31.1942,18.86,
CHAMBLFERT,2023Q1,60.56,66627464.0,43.6427,26.43,
CHAMBLFERT,2023Q2,60.56,65584464.0,42.9657,26.02,
CHAMBLFERT,2023Q3,60.56,63633864.0,41.6942,25.25,
CHAMBLFERT,2023Q4,60.56,66317464.0,43.4445,26.31,
CHAMBLFERT,2024Q1,60.7,58865864.0,39.8682,24.2,
CHAMBLFERT,2024Q2,60.4,53281840.0,36.457,22.02,
CHAMBLFERT,2024Q3,60.4,47157333.0,32.2682,19.49,
CHAMBLFERT,2024Q4,60.7,61193864.0,41.4498,25.16,
CHAMBLFERT,2025Q1,60.5,,,,
CHAMBLFERT,2025Q2,60.58,,,,
CHAMBLFERT,2025Q3,60.85,,,,
CHAMBLFERT,2025Q4,60.4,46092333.0,31.5397,19.05,
