nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
CHOLAFIN,2015Q1,0.0,,,,
CHOLAFIN,2015Q2,0.0,,,,
CHOLAFIN,2015Q3,53.16,,,,
CHOLAFIN,2015Q4,0.0,,,,
CHOLAFIN,2016Q1,53.13,,,,
CHOLAFIN,2016Q2,53.09,,,,
CHOLAFIN,2016Q3,53.09,,,,
CHOLAFIN,2016Q4,53.14,,,,
CHOLAFIN,2017Q1,53.08,,,,
CHOLAFIN,2017Q2,53.07,,,,
CHOLAFIN,2017Q3,53.07,,,,
CHOLAFIN,2017Q4,53.08,,,,
CHOLAFIN,2018Q1,53.06,,,,
CHOLAFIN,2018Q2,53.06,,,,
CHOLAFIN,2018Q3,53.06,,,,
CHOLAFIN,2018Q4,53.06,,,,
CHOLAFIN,2019Q1,52.94,,,,
CHOLAFIN,2019Q2,52.94,,,,
CHOLAFIN,2019Q3,52.94,0.0,0.0,0.0,
CHOLAFIN,2019Q4,53.06,,,,
CHOLAFIN,2020Q1,51.65,0.0,0.0,0.0,
CHOLAFIN,2020Q2,51.64,0.0,0.0,0.0,
CHOLAFIN,2020Q3,51.64,0.0,0.0,0.0,
CHOLAFIN,2020Q4,51.65,0.0,0.0,0.0,
CHOLAFIN,2021Q1,51.61,0.0,0.0,0.0,
CHOLAFIN,2021Q2,51.57,0.0,0.0,0.0,
CHOLAFIN,2021Q3,51.55,125000.0,0.0582,0.03,
CHOLAFIN,2021Q4,51.62,0.0,0.0,0.0,
CHOLAFIN,2022Q1,51.52,125000.0,0.0582,0.03,
CHOLAFIN,2022Q2,51.5,125000.0,0.0583,0.03,
CHOLAFIN,2022Q3,51.49,125000.0,0.0583,0.03,
CHOLAFIN,2022Q4,51.55,,,,
CHOLAFIN,2023Q1,51.46,0.0,0.0,0.0,
CHOLAFIN,2023Q2,51.43,0.0,0.0,0.0,
CHOLAFIN,2023Q3,50.37,0.0,0.0,0.0,
CHOLAFIN,2023Q4,51.47,0.0,0.0,0.0,
CHOLAFIN,2024Q1,50.33,0.0,0.0,0.0,
CHOLAFIN,2024Q2,50.24,0.0,0.0,0.0,
CHOLAFIN,2024Q3,49.93,0.0,0.0,0.0,
CHOLAFIN,2024Q4,50.35,0.0,0.0,0.0,
CHOLAFIN,2025Q1,49.9,,,,
CHOLAFIN,2025Q2,49.88,,,,
CHOLAFIN,2025Q3,49.72,,,,
CHOLAFIN,2025Q4,49.92,0.0,0.0,0.0,
