nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
CIPLA,2015Q1,0.0,,,,
CIPLA,2015Q2,0.0,,,,
CIPLA,2015Q3,37.57,,,,
CIPLA,2015Q4,0.0,,,,
CIPLA,2016Q1,37.47,,,,
CIPLA,2016Q2,37.5,,,,
CIPLA,2016Q3,37.49,,,,
CIPLA,2016Q4,37.5,,,,
CIPLA,2017Q1,37.29,,,,
CIPLA,2017Q2,37.26,,,,
CIPLA,2017Q3,37.24,,,,
CIPLA,2017Q4,37.48,,,,
CIPLA,2018Q1,36.77,,,,
CIPLA,2018Q2,36.74,,,,
CIPLA,2018Q3,36.7,,,,
CIPLA,2018Q4,37.21,,,,
CIPLA,2019Q1,36.7,,,,
CIPLA,2019Q2,36.68,,,,
CIPLA,2019Q3,36.68,0.0,0.0,0.0,
CIPLA,2019Q4,36.7,,,,
CIPLA,2020Q1,36.68,,,,
CIPLA,2020Q2,36.7,0.0,0.0,0.0,
CIPLA,2020Q3,36.7,0.0,0.0,0.0,
CIPLA,2020Q4,36.68,0.0,0.0,0.0,
CIPLA,2021Q1,36.72,0.0,0.0,0.0,
CIPLA,2021Q2,36.12,0.0,0.0,0.0,
CIPLA,2021Q3,36.11,0.0,0.0,0.0,
CIPLA,2021Q4,36.73,0.0,0.0,0.0,
CIPLA,2022Q1,33.61,0.0,0.0,0.0,
CIPLA,2022Q2,33.61,0.0,0.0,0.0,
CIPLA,2022Q3,33.61,0.0,0.0,0.0,
CIPLA,2022Q4,33.63,0.0,0.0,0.0,
CIPLA,2023Q1,33.47,0.0,0.0,0.0,
CIPLA,2023Q2,33.47,0.0,0.0,0.0,
CIPLA,2023Q3,33.47,0.0,0.0,0.0,
CIPLA,2023Q4,33.55,0.0,0.0,0.0,
CIPLA,2024Q1,30.91,0.0,0.0,0.0,
CIPLA,2024Q2,30.92,0.0,0.0,0.0,
CIPLA,2024Q3,29.19,0.0,0.0,0.0,
CIPLA,2024Q4,33.47,0.0,0.0,0.0,
CIPLA,2025Q1,29.19,,,,
CIPLA,2025Q2,29.21,,,,
CIPLA,2025Q3,29.21,,,,
CIPLA,2025Q4,29.2,0.0,0.0,0.0,
