nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
CRISIL,2015Q1,0.0,,,,
CRISIL,2015Q2,0.0,,,,
CRISIL,2015Q3,67.17,,,,
CRISIL,2015Q4,0.0,,,,
CRISIL,2016Q1,67.11,,,,
CRISIL,2016Q2,67.11,,,,
CRISIL,2016Q3,67.05,,,,
CRISIL,2016Q4,67.17,,,,
CRISIL,2017Q1,67.03,,,,
CRISIL,2017Q2,66.78,,,,
CRISIL,2017Q3,66.71,,,,
CRISIL,2017Q4,67.05,,,,
CRISIL,2018Q1,67.87,,,,
CRISIL,2018Q2,67.64,,,,
CRISIL,2018Q3,67.58,,,,
CRISIL,2018Q4,66.69,,,,
CRISIL,2019Q1,67.45,,,,
CRISIL,2019Q2,67.4,,,,
CRISIL,2019Q3,67.4,0.0,0.0,0.0,
CRISIL,2019Q4,67.53,,,,
CRISIL,2020Q1,67.22,0.0,0.0,0.0,
CRISIL,2020Q2,67.2,0.0,0.0,0.0,
CRISIL,2020Q3,67.13,0.0,0.0,0.0,
CRISIL,2020Q4,67.24,0.0,0.0,0.0,
CRISIL,2021Q1,66.99,0.0,0.0,0.0,
CRISIL,2021Q2,66.92,,,,
CRISIL,2021Q3,66.88,0.0,0.0,0.0,
CRISIL,2021Q4,67.05,0.0,0.0,0.0,
CRISIL,2022Q1,66.74,0.0,0.0,0.0,
CRISIL,2022Q2,66.72,0.0,0.0,0.0,
CRISIL,2022Q3,66.7,0.0,0.0,0.0,
CRISIL,2022Q4,66.79,0.0,0.0,0.0,
CRISIL,2023Q1,66.67,0.0,0.0,0.0,
CRISIL,2023Q2,66.66,0.0,0.0,0.0,
CRISIL,2023Q3,66.65,0.0,0.0,0.0,
CRISIL,2023Q4,66.69,0.0,0.0,0.0,
CRISIL,2024Q1,66.64,0.0,0.0,0.0,
CRISIL,2024Q2,66.64,0.0,0.0,0.0,
CRISIL,2024Q3,66.64,0.0,0.0,0.0,
CRISIL,2024Q4,66.65,0.0,0.0,0.0,
CRISIL,2025Q1,66.64,,,,
CRISIL,2025Q2,66.64,,,,
CRISIL,2025Q3,66.64,,,,
CRISIL,2025Q4,66.64,0.0,0.0,0.0,
