nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
CROMPTON,2016Q1,34.38,,,,
CROMPTON,2016Q2,34.38,,,,
CROMPTON,2016Q3,34.38,,,,
CROMPTON,2017Q1,34.38,,,,
CROMPTON,2017Q2,34.38,,,,
CROMPTON,2017Q3,34.38,,,,
CROMPTON,2017Q4,34.38,,,,
CROMPTON,2018Q1,34.37,91510260.0,123.5671,42.47,
CROMPTON,2018Q2,34.37,91510260.0,123.5671,42.47,
CROMPTON,2018Q3,34.37,105251008.0,142.1298,48.85,
CROMPTON,2018Q4,34.38,91510260.0,123.5311,42.47,
CROMPTON,2019Q1,34.36,105251008.0,142.1711,48.85,
CROMPTON,2019Q2,34.36,105251008.0,142.1711,48.85,
CROMPTON,2019Q3,26.2,105251008.0,244.5038,64.06,
CROMPTON,2019Q4,34.37,105251008.0,142.1298,48.85,
CROMPTON,2020Q1,26.19,107741623.0,250.4009,65.58,
CROMPTON,2020Q2,26.19,107741623.0,250.4009,65.58,
CROMPTON,2020Q3,17.42,71690212.0,376.5212,65.59,
CROMPTON,2020Q4,26.19,107741623.0,250.4009,65.58,
CROMPTON,2021Q1,5.99,22410.0,1.0017,0.06,
CROMPTON,2021Q2,5.99,0.0,0.0,0.0,
CROMPTON,2021Q3,5.99,0.0,0.0,0.0,
CROMPTON,2021Q4,11.36,33690212.0,415.9331,47.25,
CROMPTON,2022Q1,5.94,0.0,0.0,0.0,
CROMPTON,2022Q2,2.54,0.0,0.0,0.0,
CROMPTON,2022Q3,0.0,0.0,,0.0,
CROMPTON,2022Q4,5.94,0.0,0.0,0.0,
CROMPTON,2023Q1,0.0,0.0,,0.0,
CROMPTON,2023Q2,0.0,0.0,,0.0,
CROMPTON,2023Q3,0.0,0.0,,0.0,
CROMPTON,2023Q4,0.0,0.0,,0.0,
CROMPTON,2024Q1,0.0,0.0,,0.0,
CROMPTON,2024Q2,0.0,0.0,,0.0,
CROMPTON,2024Q3,0.0,0.0,,0.0,
CROMPTON,2024Q4,0.0,0.0,,0.0,
CROMPTON,2025Q1,0.0,,,,
CROMPTON,2025Q2,0.0,,,,
CROMPTON,2025Q3,0.0,,,,
CROMPTON,2025Q4,0.0,0.0,,0.0,
