nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
DABUR,2015Q1,0.0,,,,
DABUR,2015Q2,0.0,,,,
DABUR,2015Q3,68.1,,,,
DABUR,2015Q4,0.0,,,,
DABUR,2016Q1,68.02,,,,
DABUR,2016Q2,68.03,,,,
DABUR,2016Q3,68.04,,,,
DABUR,2016Q4,68.11,,,,
DABUR,2017Q1,68.05,,,,
DABUR,2017Q2,68.05,,,,
DABUR,2017Q3,68.05,,,,
DABUR,2017Q4,68.04,,,,
DABUR,2018Q1,67.88,,,,
DABUR,2018Q2,67.88,,,,
DABUR,2018Q3,67.89,,,,
DABUR,2018Q4,68.07,,,,
DABUR,2019Q1,67.88,,,,
DABUR,2019Q2,67.88,,,,
DABUR,2019Q3,67.88,0.0,0.0,0.0,
DABUR,2019Q4,67.9,,,,
DABUR,2020Q1,67.87,0.0,0.0,0.0,
DABUR,2020Q2,67.87,0.0,0.0,0.0,
DABUR,2020Q3,67.87,0.0,0.0,0.0,
DABUR,2020Q4,67.88,0.0,0.0,0.0,
DABUR,2021Q1,67.36,0.0,0.0,0.0,
DABUR,2021Q2,67.36,0.0,0.0,0.0,
DABUR,2021Q3,67.37,0.0,0.0,0.0,
DABUR,2021Q4,67.38,0.0,0.0,0.0,
DABUR,2022Q1,67.24,0.0,0.0,0.0,
DABUR,2022Q2,67.24,0.0,0.0,0.0,
DABUR,2022Q3,66.24,0.0,0.0,0.0,
DABUR,2022Q4,67.38,0.0,0.0,0.0,
DABUR,2023Q1,66.23,0.0,0.0,0.0,
DABUR,2023Q2,66.23,0.0,0.0,0.0,
DABUR,2023Q3,66.24,0.0,0.0,0.0,
DABUR,2023Q4,66.24,0.0,0.0,0.0,
DABUR,2024Q1,66.24,0.0,0.0,0.0,
DABUR,2024Q2,66.25,0.0,0.0,0.0,
DABUR,2024Q3,66.26,0.0,0.0,0.0,
DABUR,2024Q4,66.25,0.0,0.0,0.0,
DABUR,2025Q1,66.22,,,,
DABUR,2025Q2,66.22,,,,
DABUR,2025Q3,66.23,,,,
DABUR,2025Q4,66.27,0.0,0.0,0.0,
DABUR,2026Q4,66.25,,,,
