nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
DELHIVERY,2022Q1,0.0,0.0,,0.0,
DELHIVERY,2022Q2,0.0,0.0,,0.0,
DELHIVERY,2022Q3,0.0,0.0,,0.0,
DELHIVERY,2023Q1,0.0,0.0,,0.0,
DELHIVERY,2023Q2,0.0,0.0,,0.0,
DELHIVERY,2023Q3,0.0,0.0,,0.0,
DELHIVERY,2023Q4,0.0,0.0,,0.0,
DELHIVERY,2024Q1,0.0,0.0,,0.0,
DELHIVERY,2024Q2,0.0,0.0,,0.0,
DELHIVERY,2024Q3,0.0,0.0,,0.0,
DELHIVERY,2024Q4,0.0,0.0,,0.0,
DELHIVERY,2025Q1,0.0,,,,
DELHIVERY,2025Q2,0.0,,,,
DELHIVERY,2025Q3,0.0,,,,
DELHIVERY,2025Q4,0.0,0.0,,0.0,
DELHIVERY,2026Q4,0.0,,,,
