nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
DHFL,2015Q1,0.0,,,,
DHFL,2015Q2,0.0,,,,
DHFL,2015Q3,34.9,,,,
DHFL,2015Q4,0.0,,,,
DHFL,2016Q1,34.89,,,,
DHFL,2016Q2,39.31,,,,
DHFL,2016Q3,39.3,,,,
DHFL,2016Q4,34.89,,,,
DHFL,2017Q1,39.24,,,,
DHFL,2017Q2,39.24,,,,
DHFL,2017Q3,39.23,,,,
DHFL,2017Q4,39.29,,,,
DHFL,2018Q1,39.23,,,,
DHFL,2018Q2,39.21,,,,
DHFL,2018Q3,39.21,,,,
DHFL,2018Q4,39.23,,,,
DHFL,2019Q1,39.21,,,,
DHFL,2019Q2,39.21,123049714.0,255.037,100.0,
DHFL,2019Q3,39.21,123049714.0,255.037,100.0,
DHFL,2019Q4,39.21,,,,
DHFL,2020Q2,39.21,123049714.0,255.037,100.0,
DHFL,2020Q3,39.21,123049714.0,255.037,100.0,
DHFL,2020Q4,39.21,123049714.0,255.037,100.0,
DHFL,2021Q1,39.21,123049714.0,255.037,100.0,
DHFL,2021Q4,39.21,123049714.0,255.037,100.0,
