nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
DMART,2017Q1,82.2,,,,
DMART,2017Q2,82.2,,,,
DMART,2017Q3,82.2,,,,
DMART,2017Q4,82.2,,,,
DMART,2018Q1,81.2,,,,
DMART,2018Q2,81.2,,,,
DMART,2018Q3,81.2,,,,
DMART,2018Q4,82.2,,,,
DMART,2019Q1,81.2,,,,
DMART,2019Q2,80.21,,,,
DMART,2019Q3,79.73,0.0,0.0,0.0,
DMART,2019Q4,81.2,,,,
DMART,2020Q1,74.99,0.0,0.0,0.0,
DMART,2020Q2,74.99,0.0,0.0,0.0,
DMART,2020Q3,74.99,0.0,0.0,0.0,
DMART,2020Q4,74.99,0.0,0.0,0.0,
DMART,2021Q1,74.99,0.0,0.0,0.0,
DMART,2021Q2,74.99,0.0,0.0,0.0,
DMART,2021Q3,74.99,0.0,0.0,0.0,
DMART,2021Q4,74.99,0.0,0.0,0.0,
DMART,2022Q1,74.99,0.0,0.0,0.0,
DMART,2022Q2,74.99,0.0,0.0,0.0,
DMART,2022Q3,74.99,0.0,0.0,0.0,
DMART,2022Q4,74.99,0.0,0.0,0.0,
DMART,2023Q1,74.65,0.0,0.0,0.0,
DMART,2023Q2,74.65,0.0,0.0,0.0,
DMART,2023Q3,74.65,0.0,0.0,0.0,
DMART,2023Q4,74.93,0.0,0.0,0.0,
DMART,2024Q1,74.65,0.0,0.0,0.0,
DMART,2024Q2,74.65,0.0,0.0,0.0,
DMART,2024Q3,74.65,0.0,0.0,0.0,
DMART,2024Q4,74.65,0.0,0.0,0.0,
DMART,2025Q1,74.65,,,,
DMART,2025Q2,74.65,,,,
DMART,2025Q3,74.65,,,,
DMART,2025Q4,74.65,0.0,0.0,0.0,
