nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
EIHOTEL,2015Q1,0.0,,,,
EIHOTEL,2015Q2,0.0,,,,
EIHOTEL,2015Q3,35.27,,,,
EIHOTEL,2015Q4,0.0,,,,
EIHOTEL,2016Q1,35.27,,,,
EIHOTEL,2016Q2,35.27,,,,
EIHOTEL,2016Q3,35.27,,,,
EIHOTEL,2016Q4,35.27,,,,
EIHOTEL,2017Q1,35.25,,,,
EIHOTEL,2017Q2,35.25,,,,
EIHOTEL,2017Q3,35.25,,,,
EIHOTEL,2017Q4,35.25,,,,
EIHOTEL,2018Q1,35.25,,,,
EIHOTEL,2018Q2,35.25,,,,
EIHOTEL,2018Q3,35.25,,,,
EIHOTEL,2018Q4,35.25,,,,
EIHOTEL,2019Q1,35.25,,,,
EIHOTEL,2019Q2,35.25,,,,
EIHOTEL,2019Q3,35.25,0.0,0.0,0.0,
EIHOTEL,2019Q4,35.25,,,,
EIHOTEL,2020Q2,35.25,0.0,0.0,0.0,
EIHOTEL,2020Q3,35.74,0.0,0.0,0.0,
EIHOTEL,2020Q4,35.25,0.0,0.0,0.0,
EIHOTEL,2021Q1,35.74,0.0,0.0,0.0,
EIHOTEL,2021Q2,35.74,0.0,0.0,0.0,
EIHOTEL,2021Q3,35.74,0.0,0.0,0.0,
EIHOTEL,2021Q4,35.74,0.0,0.0,0.0,
EIHOTEL,2022Q1,35.74,0.0,0.0,0.0,
EIHOTEL,2022Q2,35.74,0.0,0.0,0.0,
EIHOTEL,2022Q3,35.74,0.0,0.0,0.0,
EIHOTEL,2022Q4,35.74,0.0,0.0,0.0,
EIHOTEL,2023Q1,32.85,0.0,0.0,0.0,
EIHOTEL,2023Q2,32.85,0.0,0.0,0.0,
EIHOTEL,2023Q3,32.85,0.0,0.0,0.0,
EIHOTEL,2023Q4,32.85,0.0,0.0,0.0,
EIHOTEL,2024Q1,32.85,0.0,0.0,0.0,
EIHOTEL,2024Q2,32.85,0.0,0.0,0.0,
EIHOTEL,2024Q3,32.85,0.0,0.0,0.0,
EIHOTEL,2024Q4,32.85,0.0,0.0,0.0,
EIHOTEL,2025Q1,32.85,,,,
EIHOTEL,2025Q2,32.85,,,,
EIHOTEL,2025Q3,32.85,,,,
EIHOTEL,2025Q4,32.85,0.0,0.0,0.0,
EIHOTEL,2026Q4,32.85,,,,
