nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
ESCORTS,2015Q1,0.0,,,,
ESCORTS,2015Q2,0.0,,,,
ESCORTS,2015Q3,43.01,,,,
ESCORTS,2015Q4,0.0,,,,
ESCORTS,2016Q1,43.01,,,,
ESCORTS,2016Q2,42.99,,,,
ESCORTS,2016Q3,42.99,,,,
ESCORTS,2016Q4,43.01,,,,
ESCORTS,2017Q1,42.98,,,,
ESCORTS,2017Q2,42.98,,,,
ESCORTS,2017Q3,40.04,,,,
ESCORTS,2017Q4,42.98,,,,
ESCORTS,2018Q1,40.07,,,,
ESCORTS,2018Q2,40.07,,,,
ESCORTS,2018Q3,40.08,,,,
ESCORTS,2018Q4,40.07,,,,
ESCORTS,2019Q1,40.25,,,,
ESCORTS,2019Q2,40.25,,,,
ESCORTS,2019Q3,40.25,0.0,0.0,0.0,
ESCORTS,2019Q4,40.08,,,,
ESCORTS,2020Q1,40.25,0.0,0.0,0.0,
ESCORTS,2020Q2,36.59,0.0,0.0,0.0,
ESCORTS,2020Q3,36.59,0.0,0.0,0.0,
ESCORTS,2020Q4,40.25,0.0,0.0,0.0,
ESCORTS,2021Q1,36.59,0.0,0.0,0.0,
ESCORTS,2021Q2,36.59,0.0,0.0,0.0,
ESCORTS,2021Q3,30.25,0.0,0.0,0.0,
ESCORTS,2021Q4,36.59,0.0,0.0,0.0,
ESCORTS,2022Q1,72.9,0.0,0.0,0.0,
ESCORTS,2022Q2,72.9,0.0,0.0,0.0,
ESCORTS,2022Q3,72.9,0.0,0.0,0.0,
ESCORTS,2022Q4,28.1,0.0,0.0,0.0,
ESCORTS,2023Q1,67.64,0.0,0.0,0.0,
ESCORTS,2023Q2,67.64,0.0,0.0,0.0,
ESCORTS,2023Q3,67.64,0.0,0.0,0.0,
ESCORTS,2023Q4,72.9,0.0,0.0,0.0,
ESCORTS,2024Q1,67.64,0.0,0.0,0.0,
ESCORTS,2024Q2,68.04,0.0,0.0,0.0,
ESCORTS,2024Q3,68.04,0.0,0.0,0.0,
ESCORTS,2024Q4,67.64,0.0,0.0,0.0,
ESCORTS,2025Q1,68.04,,,,
ESCORTS,2025Q2,68.04,,,,
ESCORTS,2025Q3,68.04,,,,
ESCORTS,2025Q4,68.04,0.0,0.0,0.0,
