nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
ESTER,2015Q1,0.0,,,,
ESTER,2015Q2,0.0,,,,
ESTER,2015Q3,54.22,,,,
ESTER,2015Q4,0.0,,,,
ESTER,2016Q1,54.22,,,,
ESTER,2016Q2,54.22,,,,
ESTER,2016Q3,59.14,,,,
ESTER,2016Q4,54.22,,,,
ESTER,2017Q1,59.14,,,,
ESTER,2017Q2,59.14,,,,
ESTER,2017Q3,59.14,,,,
ESTER,2017Q4,59.14,,,,
ESTER,2018Q1,59.14,5000000.0,17.1458,10.14,
ESTER,2018Q2,59.14,5000000.0,17.1458,10.14,
ESTER,2018Q3,59.14,5000000.0,17.1458,10.14,
ESTER,2018Q4,59.14,,,,
ESTER,2019Q1,59.14,5000000.0,17.1458,10.14,
ESTER,2019Q2,59.14,5000000.0,17.1458,10.14,
ESTER,2019Q3,59.14,5000000.0,17.1458,10.14,
ESTER,2019Q4,59.14,5000000.0,17.1458,10.14,
ESTER,2020Q1,59.14,5000000.0,17.1458,10.14,
ESTER,2020Q2,61.45,5000000.0,15.8828,9.76,
ESTER,2020Q3,64.04,5000000.0,14.6159,9.36,
ESTER,2020Q4,59.14,5000000.0,17.1458,10.14,
ESTER,2021Q1,64.04,5000000.0,14.6159,9.36,
ESTER,2021Q2,64.04,5000000.0,14.6159,9.36,
ESTER,2021Q3,64.04,5000000.0,14.6159,9.36,
ESTER,2021Q4,64.04,5000000.0,14.6159,9.36,
ESTER,2022Q1,64.04,5000000.0,14.6159,9.36,
ESTER,2022Q2,64.04,0.0,0.0,0.0,
ESTER,2022Q3,64.04,0.0,0.0,0.0,
ESTER,2022Q4,64.04,5000000.0,14.6159,9.36,
ESTER,2023Q1,64.04,0.0,0.0,0.0,
ESTER,2023Q2,64.04,0.0,0.0,0.0,
ESTER,2023Q3,64.04,0.0,0.0,0.0,
ESTER,2023Q4,64.04,0.0,0.0,0.0,
ESTER,2024Q1,62.46,0.0,0.0,0.0,
ESTER,2024Q2,62.4,0.0,0.0,0.0,
ESTER,2024Q3,62.4,0.0,0.0,0.0,
ESTER,2024Q4,62.46,0.0,0.0,0.0,
ESTER,2025Q1,62.73,,,,
ESTER,2025Q2,62.73,,,,
ESTER,2025Q3,62.71,,,,
ESTER,2025Q4,62.4,0.0,0.0,0.0,
ESTER,2026Q4,62.71,,,,
