nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
FINEORG,2018Q1,75.0,,,,
FINEORG,2018Q2,75.0,,,,
FINEORG,2018Q3,75.0,,,,
FINEORG,2019Q1,75.0,,,,
FINEORG,2019Q2,75.0,,,,
FINEORG,2019Q3,75.0,0.0,0.0,0.0,
FINEORG,2019Q4,75.0,,,,
FINEORG,2020Q1,75.0,0.0,0.0,0.0,
FINEORG,2020Q2,75.0,0.0,0.0,0.0,
FINEORG,2020Q3,75.0,0.0,0.0,0.0,
FINEORG,2020Q4,75.0,0.0,0.0,0.0,
FINEORG,2021Q1,75.0,0.0,0.0,0.0,
FINEORG,2021Q3,75.0,0.0,0.0,0.0,
FINEORG,2021Q4,75.0,0.0,0.0,0.0,
FINEORG,2022Q1,75.0,0.0,0.0,0.0,
FINEORG,2022Q2,75.0,0.0,0.0,0.0,
FINEORG,2022Q3,75.0,0.0,0.0,0.0,
FINEORG,2022Q4,75.0,0.0,0.0,0.0,
FINEORG,2023Q1,75.0,0.0,0.0,0.0,
FINEORG,2023Q2,75.0,0.0,0.0,0.0,
FINEORG,2023Q3,75.0,0.0,0.0,0.0,
FINEORG,2023Q4,75.0,0.0,0.0,0.0,
FINEORG,2024Q1,75.0,0.0,0.0,0.0,
FINEORG,2024Q2,75.0,0.0,0.0,0.0,
FINEORG,2024Q3,75.0,0.0,0.0,0.0,
FINEORG,2024Q4,75.0,0.0,0.0,0.0,
FINEORG,2025Q1,75.0,,,,
FINEORG,2025Q2,75.0,,,,
FINEORG,2025Q3,75.0,,,,
FINEORG,2025Q4,75.0,0.0,0.0,0.0,
FINEORG,2026Q4,75.0,,,,
