nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
GESHIP,2015Q1,0.0,,,,
GESHIP,2015Q2,0.0,,,,
GESHIP,2015Q3,30.51,,,,
GESHIP,2015Q4,0.0,,,,
GESHIP,2016Q1,30.49,,,,
GESHIP,2016Q2,30.49,,,,
GESHIP,2016Q3,30.49,,,,
GESHIP,2016Q4,30.51,,,,
GESHIP,2017Q1,30.25,,,,
GESHIP,2017Q2,30.25,,,,
GESHIP,2017Q3,29.68,,,,
GESHIP,2017Q4,30.3,,,,
GESHIP,2018Q1,29.66,,,,
GESHIP,2018Q2,29.66,,,,
GESHIP,2018Q3,29.66,,,,
GESHIP,2018Q4,29.66,,,,
GESHIP,2019Q1,29.66,,,,
GESHIP,2019Q2,30.07,,,,
GESHIP,2019Q3,28.43,0.0,0.0,0.0,
GESHIP,2019Q4,29.66,,,,
GESHIP,2020Q1,29.13,0.0,0.0,0.0,
GESHIP,2020Q2,29.49,0.0,0.0,0.0,
GESHIP,2020Q3,29.21,0.0,0.0,0.0,
GESHIP,2020Q4,28.83,0.0,0.0,0.0,
GESHIP,2021Q1,29.21,0.0,0.0,0.0,
GESHIP,2021Q2,29.21,0.0,0.0,0.0,
GESHIP,2021Q3,29.21,0.0,0.0,0.0,
GESHIP,2021Q4,29.21,0.0,0.0,0.0,
GESHIP,2022Q1,30.07,0.0,0.0,0.0,
GESHIP,2022Q2,30.07,0.0,0.0,0.0,
GESHIP,2022Q3,30.07,0.0,0.0,0.0,
GESHIP,2022Q4,30.06,0.0,0.0,0.0,
GESHIP,2023Q1,30.07,0.0,0.0,0.0,
GESHIP,2023Q2,30.07,0.0,0.0,0.0,
GESHIP,2023Q3,30.07,0.0,0.0,0.0,
GESHIP,2023Q4,30.07,0.0,0.0,0.0,
GESHIP,2024Q1,30.07,0.0,0.0,0.0,
GESHIP,2024Q2,30.07,0.0,0.0,0.0,
GESHIP,2024Q3,30.07,0.0,0.0,0.0,
GESHIP,2024Q4,30.07,0.0,0.0,0.0,
GESHIP,2025Q1,30.07,,,,
GESHIP,2025Q2,30.07,,,,
GESHIP,2025Q3,30.07,,,,
GESHIP,2025Q4,30.07,0.0,0.0,0.0,
GESHIP,2026Q4,30.07,,,,
