nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
GHCL,2015Q1,0.0,,,,
GHCL,2015Q2,0.0,,,,
GHCL,2015Q3,18.47,,,,
GHCL,2015Q4,0.0,,,,
GHCL,2016Q1,18.47,,,,
GHCL,2016Q2,18.49,,,,
GHCL,2016Q3,18.49,,,,
GHCL,2016Q4,18.47,,,,
GHCL,2017Q1,18.93,,,,
GHCL,2017Q2,19.09,,,,
GHCL,2017Q3,18.98,,,,
GHCL,2017Q4,18.59,,,,
GHCL,2018Q1,18.87,,,,
GHCL,2018Q2,18.87,,,,
GHCL,2018Q3,18.87,,,,
GHCL,2018Q4,18.98,,,,
GHCL,2019Q1,18.87,200244.0,5.7234,1.08,
GHCL,2019Q2,18.93,600244.0,17.0629,3.23,
GHCL,2019Q3,18.52,200244.0,5.9395,1.1,
GHCL,2019Q4,18.87,,,,
GHCL,2020Q1,19.27,200244.0,5.6565,1.09,
GHCL,2020Q2,19.27,200244.0,5.6565,1.09,
GHCL,2020Q3,19.27,200244.0,5.6565,1.09,
GHCL,2020Q4,19.16,200244.0,5.7411,1.1,
GHCL,2021Q1,19.18,200244.0,5.7351,1.1,
GHCL,2021Q2,19.08,200244.0,5.7652,1.1,
GHCL,2021Q3,19.08,200244.0,5.7652,1.1,
GHCL,2021Q4,19.24,200244.0,5.7173,1.1,
GHCL,2022Q1,19.03,200244.0,5.7803,1.1,
GHCL,2022Q2,19.03,200244.0,5.7803,1.1,
GHCL,2022Q3,19.05,200244.0,5.7743,1.1,
GHCL,2022Q4,19.07,200244.0,5.7682,1.1,
GHCL,2023Q1,19.06,200244.0,5.7712,1.1,
GHCL,2023Q2,19.06,200244.0,5.7712,1.1,
GHCL,2023Q3,19.03,200244.0,5.7803,1.1,
GHCL,2023Q4,19.05,200244.0,5.7743,1.1,
GHCL,2024Q1,19.04,200244.0,5.7773,1.1,
GHCL,2024Q2,19.04,200244.0,5.7773,1.1,
GHCL,2024Q3,19.04,200244.0,5.7773,1.1,
GHCL,2024Q4,19.04,200244.0,5.7773,1.1,
GHCL,2025Q1,18.97,,,,
GHCL,2025Q2,18.97,,,,
GHCL,2025Q3,19.83,,,,
GHCL,2025Q4,19.04,200244.0,5.7773,1.1,
GHCL,2026Q4,19.87,,,,
