nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
GODFRYPHLP,2015Q1,0.0,,,,
GODFRYPHLP,2015Q2,0.0,,,,
GODFRYPHLP,2015Q3,72.06,,,,
GODFRYPHLP,2015Q4,0.0,,,,
GODFRYPHLP,2016Q1,72.06,,,,
GODFRYPHLP,2016Q2,72.06,,,,
GODFRYPHLP,2016Q3,72.06,,,,
GODFRYPHLP,2016Q4,72.06,,,,
GODFRYPHLP,2017Q1,72.19,,,,
GODFRYPHLP,2017Q2,72.19,,,,
GODFRYPHLP,2017Q3,72.19,,,,
GODFRYPHLP,2017Q4,72.19,,,,
GODFRYPHLP,2018Q1,72.19,,,,
GODFRYPHLP,2018Q2,72.19,,,,
GODFRYPHLP,2018Q3,72.19,,,,
GODFRYPHLP,2018Q4,72.19,,,,
GODFRYPHLP,2019Q1,72.19,,,,
GODFRYPHLP,2019Q2,72.19,,,,
GODFRYPHLP,2019Q3,72.19,0.0,0.0,0.0,
GODFRYPHLP,2019Q4,72.19,,,,
GODFRYPHLP,2020Q1,72.19,0.0,0.0,0.0,
GODFRYPHLP,2020Q2,72.28,0.0,0.0,0.0,
GODFRYPHLP,2020Q3,72.55,0.0,0.0,0.0,
GODFRYPHLP,2020Q4,72.19,0.0,0.0,0.0,
GODFRYPHLP,2021Q1,72.83,0.0,0.0,0.0,
GODFRYPHLP,2021Q2,72.83,0.0,0.0,0.0,
GODFRYPHLP,2021Q3,72.83,0.0,0.0,0.0,
GODFRYPHLP,2021Q4,72.78,0.0,0.0,0.0,
GODFRYPHLP,2022Q1,72.83,0.0,0.0,0.0,
GODFRYPHLP,2022Q2,72.83,0.0,0.0,0.0,
GODFRYPHLP,2022Q3,72.58,0.0,0.0,0.0,
GODFRYPHLP,2022Q4,72.83,0.0,0.0,0.0,
GODFRYPHLP,2023Q1,72.58,0.0,0.0,0.0,
GODFRYPHLP,2023Q2,72.58,0.0,0.0,0.0,
GODFRYPHLP,2023Q3,72.58,0.0,0.0,0.0,
GODFRYPHLP,2023Q4,72.58,0.0,0.0,0.0,
GODFRYPHLP,2024Q1,72.58,0.0,0.0,0.0,
GODFRYPHLP,2024Q2,72.58,0.0,0.0,0.0,
GODFRYPHLP,2024Q3,72.58,0.0,0.0,0.0,
GODFRYPHLP,2024Q4,72.58,0.0,0.0,0.0,
GODFRYPHLP,2025Q1,72.58,,,,
GODFRYPHLP,2025Q2,72.58,,,,
GODFRYPHLP,2025Q3,72.58,,,,
GODFRYPHLP,2025Q4,72.58,0.0,0.0,0.0,
GODFRYPHLP,2026Q4,72.58,,,,
