nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
GTLINFRA,2015Q1,0.0,,,,
GTLINFRA,2015Q2,0.0,,,,
GTLINFRA,2015Q3,27.04,,,,
GTLINFRA,2015Q4,0.0,,,,
GTLINFRA,2016Q1,26.91,,,,
GTLINFRA,2016Q2,26.38,,,,
GTLINFRA,2016Q3,25.56,,,,
GTLINFRA,2016Q4,26.91,,,,
GTLINFRA,2017Q1,15.14,,,,
GTLINFRA,2017Q2,14.95,,,,
GTLINFRA,2017Q3,14.64,,,,
GTLINFRA,2017Q4,25.56,,,,
GTLINFRA,2018Q1,20.07,2466649881.0,498.2561,100.0,
GTLINFRA,2018Q2,20.05,2466649881.0,498.7531,100.0,
GTLINFRA,2018Q3,20.05,2466649881.0,498.7531,100.0,
GTLINFRA,2018Q4,19.52,2366649881.0,512.2951,100.0,
GTLINFRA,2019Q1,3.41,420144016.0,2932.5513,100.0,
GTLINFRA,2019Q2,3.41,420144016.0,2932.5513,100.0,
GTLINFRA,2019Q3,3.41,420144016.0,2932.5513,100.0,
GTLINFRA,2019Q4,3.41,420144016.0,2932.5513,100.0,
GTLINFRA,2020Q1,3.41,420144016.0,2932.5513,100.0,
GTLINFRA,2020Q2,3.39,420144016.0,2949.8525,100.0,
GTLINFRA,2020Q3,3.39,420144016.0,2949.8525,100.0,
GTLINFRA,2020Q4,3.41,420144016.0,2932.5513,100.0,
GTLINFRA,2021Q1,3.36,420144016.0,2976.1905,100.0,
GTLINFRA,2021Q2,3.33,420144016.0,3003.003,100.0,
GTLINFRA,2021Q3,3.33,420144016.0,3003.003,100.0,
GTLINFRA,2021Q4,3.36,420144016.0,2976.1905,100.0,
GTLINFRA,2022Q1,3.33,420144016.0,3003.003,100.0,
GTLINFRA,2022Q2,3.33,420144016.0,3003.003,100.0,
GTLINFRA,2022Q3,3.32,420144016.0,3012.0482,100.0,
GTLINFRA,2022Q4,3.33,420144016.0,3003.003,100.0,
GTLINFRA,2023Q1,3.28,420144016.0,3048.7805,100.0,
GTLINFRA,2023Q2,3.28,420144016.0,3048.7805,100.0,
GTLINFRA,2023Q3,3.28,420144016.0,3048.7805,100.0,
GTLINFRA,2023Q4,3.32,420144016.0,3012.0482,100.0,
GTLINFRA,2024Q1,3.28,420144016.0,3048.7805,100.0,
GTLINFRA,2024Q2,3.28,420144016.0,3048.7805,100.0,
GTLINFRA,2024Q3,3.28,420144016.0,3048.7805,100.0,
GTLINFRA,2024Q4,3.28,420144016.0,3048.7805,100.0,
GTLINFRA,2025Q1,3.28,,,,
GTLINFRA,2025Q2,3.28,,,,
GTLINFRA,2025Q3,3.28,,,,
GTLINFRA,2025Q4,3.28,420144016.0,3048.7805,100.0,
