nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
GUJGASLTD,2015Q2,0.0,,,,
GUJGASLTD,2015Q3,60.89,,,,
GUJGASLTD,2016Q1,60.89,,,,
GUJGASLTD,2016Q2,60.89,,,,
GUJGASLTD,2016Q3,60.89,,,,
GUJGASLTD,2016Q4,60.89,,,,
GUJGASLTD,2017Q1,60.89,,,,
GUJGASLTD,2017Q2,60.89,,,,
GUJGASLTD,2017Q3,60.89,,,,
GUJGASLTD,2017Q4,60.89,,,,
GUJGASLTD,2018Q1,60.89,,,,
GUJGASLTD,2018Q2,60.89,,,,
GUJGASLTD,2018Q3,60.89,,,,
GUJGASLTD,2018Q4,50.41,,,,
GUJGASLTD,2019Q1,60.89,,,,
GUJGASLTD,2019Q2,60.89,,,,
GUJGASLTD,2019Q3,60.89,0.0,0.0,0.0,
GUJGASLTD,2019Q4,60.89,,,,
GUJGASLTD,2020Q1,60.89,0.0,0.0,0.0,
GUJGASLTD,2020Q2,60.89,0.0,0.0,0.0,
GUJGASLTD,2020Q3,60.89,0.0,0.0,0.0,
GUJGASLTD,2020Q4,60.89,0.0,0.0,0.0,
GUJGASLTD,2021Q1,60.89,0.0,0.0,0.0,
GUJGASLTD,2021Q2,60.89,0.0,0.0,0.0,
GUJGASLTD,2021Q3,60.89,0.0,0.0,0.0,
GUJGASLTD,2021Q4,60.89,0.0,0.0,0.0,
GUJGASLTD,2022Q1,60.89,0.0,0.0,0.0,
GUJGASLTD,2022Q2,60.89,0.0,0.0,0.0,
GUJGASLTD,2022Q3,60.89,0.0,0.0,0.0,
GUJGASLTD,2022Q4,60.89,0.0,0.0,0.0,
GUJGASLTD,2023Q1,60.89,0.0,0.0,0.0,
GUJGASLTD,2023Q2,60.89,0.0,0.0,0.0,
GUJGASLTD,2023Q3,60.89,0.0,0.0,0.0,
GUJGASLTD,2023Q4,60.89,0.0,0.0,0.0,
GUJGASLTD,2024Q1,60.89,0.0,0.0,0.0,
GUJGASLTD,2024Q2,60.89,0.0,0.0,0.0,
GUJGASLTD,2024Q3,60.89,0.0,0.0,0.0,
GUJGASLTD,2024Q4,60.89,0.0,0.0,0.0,
GUJGASLTD,2025Q1,60.89,,,,
GUJGASLTD,2025Q2,60.89,,,,
GUJGASLTD,2025Q3,60.89,,,,
GUJGASLTD,2025Q4,60.89,0.0,0.0,0.0,
GUJGASLTD,2026Q4,60.89,,,,
