nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
HAPPSTMNDS,2020Q2,53.25,0.0,0.0,0.0,
HAPPSTMNDS,2020Q3,53.25,0.0,0.0,0.0,
HAPPSTMNDS,2021Q1,53.25,0.0,0.0,0.0,
HAPPSTMNDS,2021Q2,53.25,0.0,0.0,0.0,
HAPPSTMNDS,2021Q3,53.25,0.0,0.0,0.0,
HAPPSTMNDS,2021Q4,53.25,0.0,0.0,0.0,
HAPPSTMNDS,2022Q1,53.25,0.0,0.0,0.0,
HAPPSTMNDS,2022Q2,53.25,0.0,0.0,0.0,
HAPPSTMNDS,2022Q3,53.25,4300000.0,10.3286,5.5,
HAPPSTMNDS,2022Q4,53.26,0.0,0.0,0.0,
HAPPSTMNDS,2023Q1,53.24,5483884.0,13.1668,7.01,
HAPPSTMNDS,2023Q2,51.35,5483884.0,13.6514,7.01,
HAPPSTMNDS,2023Q3,50.24,5483884.0,14.2715,7.17,
HAPPSTMNDS,2023Q4,53.24,5483884.0,13.1668,7.01,
HAPPSTMNDS,2024Q1,44.22,5483884.0,18.408,8.14,
HAPPSTMNDS,2024Q2,44.22,1183884.0,3.9801,1.76,
HAPPSTMNDS,2024Q3,44.22,1183884.0,3.9801,1.76,
HAPPSTMNDS,2024Q4,50.24,5483884.0,14.2715,7.17,
HAPPSTMNDS,2025Q1,44.21,,,,
HAPPSTMNDS,2025Q2,44.21,,,,
HAPPSTMNDS,2025Q3,44.21,,,,
HAPPSTMNDS,2025Q4,44.21,,,,
HAPPSTMNDS,2026Q4,44.21,,,,
