nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
HATSUN,2015Q1,0.0,,,,
HATSUN,2015Q2,0.0,,,,
HATSUN,2015Q3,74.71,,,,
HATSUN,2015Q4,0.0,,,,
HATSUN,2016Q1,74.71,,,,
HATSUN,2016Q2,74.71,,,,
HATSUN,2016Q3,74.71,,,,
HATSUN,2016Q4,74.71,,,,
HATSUN,2017Q1,74.71,,,,
HATSUN,2017Q2,74.71,,,,
HATSUN,2017Q3,72.51,,,,
HATSUN,2017Q4,74.71,,,,
HATSUN,2018Q1,72.51,,,,
HATSUN,2018Q2,73.54,2579030.0,2.9508,2.17,
HATSUN,2018Q3,73.54,2734030.0,3.1275,2.3,
HATSUN,2018Q4,72.51,,,,
HATSUN,2019Q1,73.54,2734030.0,3.1275,2.3,
HATSUN,2019Q2,73.54,555000.0,0.6391,0.47,
HATSUN,2019Q3,73.58,4001124.0,4.5665,3.36,
HATSUN,2019Q4,73.54,2734030.0,3.1275,2.3,
HATSUN,2020Q1,73.58,6154224.0,7.0264,5.17,
HATSUN,2020Q2,73.68,0.0,0.0,0.0,
HATSUN,2020Q3,74.07,2470000.0,2.0926,1.55,
HATSUN,2020Q4,73.58,6154224.0,7.0264,5.17,
HATSUN,2021Q1,74.07,2470000.0,2.0926,1.55,
HATSUN,2021Q2,74.12,0.0,0.0,0.0,
HATSUN,2021Q3,74.12,0.0,0.0,0.0,
HATSUN,2021Q4,74.07,2470000.0,2.0926,1.55,
HATSUN,2022Q1,74.26,0.0,0.0,0.0,
HATSUN,2022Q2,73.0,0.0,0.0,0.0,
HATSUN,2022Q3,73.0,0.0,0.0,0.0,
HATSUN,2022Q4,74.26,0.0,0.0,0.0,
HATSUN,2023Q1,73.11,0.0,0.0,0.0,
HATSUN,2023Q2,73.11,0.0,0.0,0.0,
HATSUN,2023Q3,73.11,0.0,0.0,0.0,
HATSUN,2023Q4,73.11,0.0,0.0,0.0,
HATSUN,2024Q1,73.17,6372745.0,5.3437,3.91,
HATSUN,2024Q2,73.17,0.0,0.0,0.0,
HATSUN,2024Q3,73.17,0.0,0.0,0.0,
HATSUN,2024Q4,73.15,0.0,0.0,0.0,
HATSUN,2025Q1,73.17,,,,
HATSUN,2025Q2,73.17,,,,
HATSUN,2025Q3,73.17,,,,
HATSUN,2025Q4,73.17,0.0,0.0,0.0,
