nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
HEG,2015Q1,0.0,,,,
HEG,2015Q2,0.0,,,,
HEG,2015Q3,58.79,,,,
HEG,2015Q4,0.0,,,,
HEG,2016Q1,58.79,,,,
HEG,2016Q2,58.79,,,,
HEG,2016Q3,58.79,,,,
HEG,2016Q4,58.79,,,,
HEG,2017Q1,58.79,,,,
HEG,2017Q2,61.04,,,,
HEG,2017Q3,61.04,,,,
HEG,2017Q4,58.79,,,,
HEG,2018Q1,61.04,,,,
HEG,2018Q2,61.04,,,,
HEG,2018Q3,61.04,,,,
HEG,2018Q4,61.04,,,,
HEG,2019Q1,61.24,,,,
HEG,2019Q2,59.62,,,,
HEG,2019Q3,59.62,0.0,0.0,0.0,
HEG,2019Q4,61.24,,,,
HEG,2020Q1,59.62,0.0,0.0,0.0,
HEG,2020Q2,59.62,0.0,0.0,0.0,
HEG,2020Q3,59.62,0.0,0.0,0.0,
HEG,2020Q4,59.62,0.0,0.0,0.0,
HEG,2021Q1,59.62,0.0,0.0,0.0,
HEG,2021Q2,55.13,0.0,0.0,0.0,
HEG,2021Q3,55.13,0.0,0.0,0.0,
HEG,2021Q4,59.62,0.0,0.0,0.0,
HEG,2022Q1,55.13,0.0,0.0,0.0,
HEG,2022Q2,55.13,0.0,0.0,0.0,
HEG,2022Q3,55.13,0.0,0.0,0.0,
HEG,2022Q4,55.13,0.0,0.0,0.0,
HEG,2023Q1,55.78,0.0,0.0,0.0,
HEG,2023Q2,55.78,0.0,0.0,0.0,
HEG,2023Q3,55.78,0.0,0.0,0.0,
HEG,2023Q4,55.78,0.0,0.0,0.0,
HEG,2024Q1,55.78,0.0,0.0,0.0,
HEG,2024Q2,55.78,0.0,0.0,0.0,
HEG,2024Q3,55.78,0.0,0.0,0.0,
HEG,2024Q4,55.78,0.0,0.0,0.0,
HEG,2025Q1,55.78,,,,
HEG,2025Q2,55.78,,,,
HEG,2025Q3,56.13,,,,
HEG,2025Q4,55.78,0.0,0.0,0.0,
HEG,2026Q4,56.28,,,,
