nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
HIKAL,2015Q1,0.0,,,,
HIKAL,2015Q2,0.0,,,,
HIKAL,2015Q3,68.77,,,,
HIKAL,2015Q4,0.0,,,,
HIKAL,2016Q1,68.77,,,,
HIKAL,2016Q2,68.77,,,,
HIKAL,2016Q3,68.77,,,,
HIKAL,2016Q4,68.77,,,,
HIKAL,2017Q1,68.77,,,,
HIKAL,2017Q2,68.77,,,,
HIKAL,2017Q3,68.77,,,,
HIKAL,2017Q4,68.77,,,,
HIKAL,2018Q1,68.77,,,,
HIKAL,2018Q2,68.77,,,,
HIKAL,2018Q3,68.77,,,,
HIKAL,2018Q4,68.77,,,,
HIKAL,2019Q1,68.77,,,,
HIKAL,2019Q2,68.77,,,,
HIKAL,2019Q3,68.77,0.0,0.0,0.0,
HIKAL,2019Q4,68.77,,,,
HIKAL,2020Q2,68.77,0.0,0.0,0.0,
HIKAL,2020Q3,68.77,0.0,0.0,0.0,
HIKAL,2020Q4,68.77,0.0,0.0,0.0,
HIKAL,2021Q1,68.77,0.0,0.0,0.0,
HIKAL,2021Q2,68.77,0.0,0.0,0.0,
HIKAL,2021Q3,68.77,0.0,0.0,0.0,
HIKAL,2021Q4,68.77,0.0,0.0,0.0,
HIKAL,2022Q1,68.77,0.0,0.0,0.0,
HIKAL,2022Q2,68.77,0.0,0.0,0.0,
HIKAL,2022Q3,68.83,0.0,0.0,0.0,
HIKAL,2022Q4,68.77,0.0,0.0,0.0,
HIKAL,2023Q1,68.85,0.0,0.0,0.0,
HIKAL,2023Q2,68.85,0.0,0.0,0.0,
HIKAL,2023Q3,68.85,0.0,0.0,0.0,
HIKAL,2023Q4,68.85,0.0,0.0,0.0,
HIKAL,2024Q1,68.85,0.0,0.0,0.0,
HIKAL,2024Q2,68.85,0.0,0.0,0.0,
HIKAL,2024Q3,68.85,0.0,0.0,0.0,
HIKAL,2024Q4,68.85,0.0,0.0,0.0,
HIKAL,2025Q1,68.85,,,,
HIKAL,2025Q2,68.85,,,,
HIKAL,2025Q3,68.85,,,,
HIKAL,2025Q4,68.85,0.0,0.0,0.0,
HIKAL,2026Q4,68.85,,,,
