nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
HINDCOPPER,2015Q1,0.0,,,,
HINDCOPPER,2015Q2,0.0,,,,
HINDCOPPER,2015Q3,89.95,,,,
HINDCOPPER,2015Q4,0.0,,,,
HINDCOPPER,2016Q1,89.95,,,,
HINDCOPPER,2016Q2,82.95,,,,
HINDCOPPER,2016Q3,82.95,,,,
HINDCOPPER,2016Q4,89.95,,,,
HINDCOPPER,2017Q1,82.88,,,,
HINDCOPPER,2017Q2,76.05,,,,
HINDCOPPER,2017Q3,76.05,,,,
HINDCOPPER,2017Q4,82.88,,,,
HINDCOPPER,2018Q1,76.05,,,,
HINDCOPPER,2018Q2,76.05,,,,
HINDCOPPER,2018Q3,76.05,,,,
HINDCOPPER,2018Q4,76.05,,,,
HINDCOPPER,2019Q1,76.05,,,,
HINDCOPPER,2019Q2,76.05,,,,
HINDCOPPER,2019Q3,76.05,0.0,0.0,0.0,
HINDCOPPER,2019Q4,76.05,,,,
HINDCOPPER,2020Q1,76.05,0.0,0.0,0.0,
HINDCOPPER,2020Q2,76.05,0.0,0.0,0.0,
HINDCOPPER,2020Q3,76.05,0.0,0.0,0.0,
HINDCOPPER,2020Q4,76.05,0.0,0.0,0.0,
HINDCOPPER,2021Q1,72.76,0.0,0.0,0.0,
HINDCOPPER,2021Q2,66.14,0.0,0.0,0.0,
HINDCOPPER,2021Q3,66.14,0.0,0.0,0.0,
HINDCOPPER,2021Q4,76.05,0.0,0.0,0.0,
HINDCOPPER,2022Q1,66.14,0.0,0.0,0.0,
HINDCOPPER,2022Q2,66.14,0.0,0.0,0.0,
HINDCOPPER,2022Q3,66.14,0.0,0.0,0.0,
HINDCOPPER,2022Q4,66.14,0.0,0.0,0.0,
HINDCOPPER,2023Q1,66.14,0.0,0.0,0.0,
HINDCOPPER,2023Q2,66.14,0.0,0.0,0.0,
HINDCOPPER,2023Q3,66.14,0.0,0.0,0.0,
HINDCOPPER,2023Q4,66.14,0.0,0.0,0.0,
HINDCOPPER,2024Q1,66.14,0.0,0.0,0.0,
HINDCOPPER,2024Q2,66.14,0.0,0.0,0.0,
HINDCOPPER,2024Q3,66.14,0.0,0.0,0.0,
HINDCOPPER,2024Q4,66.14,0.0,0.0,0.0,
HINDCOPPER,2025Q1,66.14,,,,
HINDCOPPER,2025Q2,66.14,,,,
HINDCOPPER,2025Q3,66.14,,,,
HINDCOPPER,2025Q4,66.14,0.0,0.0,0.0,
HINDCOPPER,2026Q4,66.14,,,,
