nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
HINDZINC,2015Q1,0.0,,,,
HINDZINC,2015Q2,0.0,,,,
HINDZINC,2015Q3,64.92,,,,
HINDZINC,2015Q4,0.0,,,,
HINDZINC,2016Q1,64.92,,,,
HINDZINC,2016Q2,64.92,,,,
HINDZINC,2016Q3,64.92,,,,
HINDZINC,2016Q4,64.92,,,,
HINDZINC,2017Q1,64.92,,,,
HINDZINC,2017Q2,64.92,,,,
HINDZINC,2017Q3,64.92,,,,
HINDZINC,2017Q4,64.92,,,,
HINDZINC,2018Q1,64.92,,,,
HINDZINC,2018Q2,64.92,,,,
HINDZINC,2018Q3,64.92,,,,
HINDZINC,2018Q4,64.92,,,,
HINDZINC,2019Q1,64.92,,,,
HINDZINC,2019Q2,64.92,,,,
HINDZINC,2019Q3,64.92,0.0,0.0,0.0,
HINDZINC,2019Q4,64.92,,,,
HINDZINC,2020Q1,64.92,0.0,0.0,0.0,
HINDZINC,2020Q2,64.92,626192276.0,35.1664,22.83,
HINDZINC,2020Q3,64.92,626192276.0,35.1664,22.83,
HINDZINC,2020Q4,64.92,0.0,0.0,0.0,
HINDZINC,2021Q1,64.92,626192276.0,35.1664,22.83,
HINDZINC,2021Q2,64.92,626192276.0,35.1664,22.83,
HINDZINC,2021Q3,64.92,626192276.0,35.1664,22.83,
HINDZINC,2021Q4,64.92,626192276.0,35.1664,22.83,
HINDZINC,2022Q1,64.92,2360494104.0,132.5478,86.05,
HINDZINC,2022Q2,64.92,2360494104.0,132.5478,86.05,
HINDZINC,2022Q3,64.92,2402747294.0,134.9199,87.59,
HINDZINC,2022Q4,64.92,2360494104.0,132.5478,86.05,
HINDZINC,2023Q1,64.92,2725959152.0,153.0653,99.37,
HINDZINC,2023Q2,64.92,2725959152.0,153.0653,99.37,
HINDZINC,2023Q3,64.92,2725959152.0,153.0653,99.37,
HINDZINC,2023Q4,64.92,2402747294.0,134.9199,87.59,
HINDZINC,2024Q1,64.92,2716710964.0,152.557,99.04,
HINDZINC,2024Q2,63.42,2556934633.0,150.4573,95.42,
HINDZINC,2024Q3,63.42,2505369972.0,147.4298,93.5,
HINDZINC,2024Q4,64.92,2725959152.0,153.0653,99.37,
HINDZINC,2025Q1,61.84,,,,
HINDZINC,2025Q2,61.84,,,,
HINDZINC,2025Q3,61.84,,,,
HINDZINC,2025Q4,63.42,2505369972.0,147.4298,93.5,
HINDZINC,2026Q4,60.71,,,,
