nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
IMFA,2015Q1,0.0,,,,
IMFA,2015Q2,0.0,,,,
IMFA,2015Q3,55.74,,,,
IMFA,2015Q4,0.0,,,,
IMFA,2016Q1,55.75,,,,
IMFA,2016Q2,57.29,,,,
IMFA,2016Q3,58.88,,,,
IMFA,2016Q4,55.75,,,,
IMFA,2017Q1,58.88,,,,
IMFA,2017Q2,58.88,,,,
IMFA,2017Q3,58.69,,,,
IMFA,2017Q4,58.88,,,,
IMFA,2018Q1,58.69,,,,
IMFA,2018Q2,58.69,,,,
IMFA,2018Q3,58.69,,,,
IMFA,2018Q4,58.69,,,,
IMFA,2019Q1,58.69,,,,
IMFA,2019Q2,58.69,,,,
IMFA,2019Q3,58.69,0.0,0.0,0.0,
IMFA,2019Q4,58.69,,,,
IMFA,2020Q1,58.69,0.0,0.0,0.0,
IMFA,2020Q2,58.69,0.0,0.0,0.0,
IMFA,2020Q3,58.69,0.0,0.0,0.0,
IMFA,2020Q4,58.69,0.0,0.0,0.0,
IMFA,2021Q1,58.69,0.0,0.0,0.0,
IMFA,2021Q2,58.69,0.0,0.0,0.0,
IMFA,2021Q3,58.69,0.0,0.0,0.0,
IMFA,2021Q4,58.69,0.0,0.0,0.0,
IMFA,2022Q1,58.69,0.0,0.0,0.0,
IMFA,2022Q2,58.69,0.0,0.0,0.0,
IMFA,2022Q3,58.69,0.0,0.0,0.0,
IMFA,2022Q4,58.69,0.0,0.0,0.0,
IMFA,2023Q1,58.69,0.0,0.0,0.0,
IMFA,2023Q2,58.69,0.0,0.0,0.0,
IMFA,2023Q3,58.69,0.0,0.0,0.0,
IMFA,2023Q4,58.69,0.0,0.0,0.0,
IMFA,2024Q1,58.69,0.0,0.0,0.0,
IMFA,2024Q2,58.69,0.0,0.0,0.0,
IMFA,2024Q3,58.69,0.0,0.0,0.0,
IMFA,2024Q4,58.69,0.0,0.0,0.0,
IMFA,2025Q1,58.69,,,,
IMFA,2025Q2,58.69,,,,
IMFA,2025Q3,58.69,,,,
IMFA,2025Q4,58.69,0.0,0.0,0.0,
IMFA,2026Q4,58.69,,,,
