nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
INDIGO,2015Q3,86.15,,,,
INDIGO,2016Q1,85.95,,,,
INDIGO,2016Q2,85.88,,,,
INDIGO,2016Q3,85.88,,,,
INDIGO,2016Q4,86.15,,,,
INDIGO,2017Q1,85.85,,,,
INDIGO,2017Q2,77.91,,,,
INDIGO,2017Q3,74.95,,,,
INDIGO,2017Q4,85.88,,,,
INDIGO,2018Q1,74.93,,,,
INDIGO,2018Q2,74.93,,,,
INDIGO,2018Q3,74.93,,,,
INDIGO,2018Q4,74.93,,,,
INDIGO,2019Q1,74.89,,,,
INDIGO,2019Q2,74.89,,,,
INDIGO,2019Q3,74.86,0.0,0.0,0.0,
INDIGO,2019Q4,74.93,,,,
INDIGO,2020Q1,74.86,0.0,0.0,0.0,
INDIGO,2020Q2,74.86,0.0,0.0,0.0,
INDIGO,2020Q3,74.85,0.0,0.0,0.0,
INDIGO,2020Q4,74.86,0.0,0.0,0.0,
INDIGO,2021Q1,74.84,0.0,0.0,0.0,
INDIGO,2021Q2,74.79,0.0,0.0,0.0,
INDIGO,2021Q3,74.78,0.0,0.0,0.0,
INDIGO,2021Q4,74.84,0.0,0.0,0.0,
INDIGO,2022Q1,74.77,0.0,0.0,0.0,
INDIGO,2022Q2,71.93,0.0,0.0,0.0,
INDIGO,2022Q3,71.92,0.0,0.0,0.0,
INDIGO,2022Q4,74.77,0.0,0.0,0.0,
INDIGO,2023Q1,67.77,0.0,0.0,0.0,
INDIGO,2023Q2,63.24,0.0,0.0,0.0,
INDIGO,2023Q3,63.13,0.0,0.0,0.0,
INDIGO,2023Q4,67.86,0.0,0.0,0.0,
INDIGO,2024Q1,55.29,0.0,0.0,0.0,
INDIGO,2024Q2,49.29,0.0,0.0,0.0,
INDIGO,2024Q3,49.27,0.0,0.0,0.0,
INDIGO,2024Q4,57.29,0.0,0.0,0.0,
INDIGO,2025Q1,43.54,,,,
INDIGO,2025Q2,41.58,,,,
INDIGO,2025Q3,41.58,,,,
INDIGO,2025Q4,49.27,0.0,0.0,0.0,
