nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
INDUSTOWER,2015Q1,0.0,,,,
INDUSTOWER,2015Q2,0.0,,,,
INDUSTOWER,2015Q3,71.7,,,,
INDUSTOWER,2015Q4,0.0,,,,
INDUSTOWER,2016Q1,71.7,,,,
INDUSTOWER,2016Q2,71.96,,,,
INDUSTOWER,2016Q3,71.96,,,,
INDUSTOWER,2016Q4,71.7,,,,
INDUSTOWER,2017Q1,61.65,,,,
INDUSTOWER,2017Q2,58.0,,,,
INDUSTOWER,2017Q3,53.51,,,,
INDUSTOWER,2017Q4,61.65,,,,
INDUSTOWER,2018Q1,53.51,,,,
INDUSTOWER,2018Q2,53.51,,,,
INDUSTOWER,2018Q3,53.51,,,,
INDUSTOWER,2018Q4,53.51,,,,
INDUSTOWER,2019Q1,53.51,,,,
INDUSTOWER,2019Q2,53.51,,,,
INDUSTOWER,2019Q3,53.51,0.0,0.0,0.0,
INDUSTOWER,2019Q4,53.51,,,,
INDUSTOWER,2020Q1,53.51,0.0,0.0,0.0,
INDUSTOWER,2020Q2,53.51,0.0,0.0,0.0,
INDUSTOWER,2020Q3,64.85,757821804.0,66.862,43.36,
INDUSTOWER,2020Q4,53.51,0.0,0.0,0.0,
INDUSTOWER,2021Q1,69.85,757821804.0,57.6378,40.26,
INDUSTOWER,2021Q2,69.85,757821804.0,57.6378,40.26,
INDUSTOWER,2021Q3,69.85,757821804.0,57.6378,40.26,
INDUSTOWER,2021Q4,69.85,757821804.0,57.6378,40.26,
INDUSTOWER,2022Q1,68.81,567164035.0,44.4412,30.58,
INDUSTOWER,2022Q2,69.0,567164035.0,44.2029,30.5,
INDUSTOWER,2022Q3,69.0,567164035.0,44.2029,30.5,
INDUSTOWER,2022Q4,67.49,567164035.0,46.1994,31.18,
INDUSTOWER,2023Q1,69.0,567164035.0,44.2029,30.5,
INDUSTOWER,2023Q2,69.0,567164035.0,44.2029,30.5,
INDUSTOWER,2023Q3,69.0,567164035.0,44.2029,30.5,
INDUSTOWER,2023Q4,69.0,567164035.0,44.2029,30.5,
INDUSTOWER,2024Q1,52.01,82483058.0,11.3055,5.88,
INDUSTOWER,2024Q2,53.01,79211086.0,10.6772,5.66,
INDUSTOWER,2024Q3,50.0,0.0,0.0,0.0,
INDUSTOWER,2024Q4,69.0,567164035.0,44.2029,30.5,
INDUSTOWER,2025Q1,50.0,,,,
INDUSTOWER,2025Q2,51.03,,,,
INDUSTOWER,2025Q3,51.03,,,,
INDUSTOWER,2025Q4,50.0,0.0,0.0,0.0,
