nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
INTELLECT,2015Q1,0.0,,,,
INTELLECT,2015Q2,0.0,,,,
INTELLECT,2015Q3,32.08,,,,
INTELLECT,2015Q4,0.0,,,,
INTELLECT,2016Q1,32.77,,,,
INTELLECT,2016Q2,29.57,,,,
INTELLECT,2016Q3,29.56,,,,
INTELLECT,2016Q4,32.46,,,,
INTELLECT,2017Q1,29.36,,,,
INTELLECT,2017Q2,31.15,,,,
INTELLECT,2017Q3,31.14,,,,
INTELLECT,2017Q4,29.38,,,,
INTELLECT,2018Q1,31.04,,,,
INTELLECT,2018Q2,31.66,,,,
INTELLECT,2018Q3,31.58,,,,
INTELLECT,2018Q4,31.04,,,,
INTELLECT,2019Q1,31.47,,,,
INTELLECT,2019Q2,31.41,,,,
INTELLECT,2019Q3,31.4,0.0,0.0,0.0,
INTELLECT,2019Q4,31.51,,,,
INTELLECT,2020Q1,31.35,0.0,0.0,0.0,
INTELLECT,2020Q2,31.33,0.0,0.0,0.0,
INTELLECT,2020Q3,31.3,0.0,0.0,0.0,
INTELLECT,2020Q4,31.38,0.0,0.0,0.0,
INTELLECT,2021Q1,31.05,0.0,0.0,0.0,
INTELLECT,2021Q2,30.96,0.0,0.0,0.0,
INTELLECT,2021Q3,30.91,0.0,0.0,0.0,
INTELLECT,2021Q4,31.23,0.0,0.0,0.0,
INTELLECT,2022Q1,30.76,0.0,0.0,0.0,
INTELLECT,2022Q2,30.66,0.0,0.0,0.0,
INTELLECT,2022Q3,30.64,0.0,0.0,0.0,
INTELLECT,2022Q4,30.86,0.0,0.0,0.0,
INTELLECT,2023Q1,30.5,0.0,0.0,0.0,
INTELLECT,2023Q2,30.42,0.0,0.0,0.0,
INTELLECT,2023Q3,30.38,0.0,0.0,0.0,
INTELLECT,2023Q4,30.6,0.0,0.0,0.0,
INTELLECT,2024Q1,30.26,0.0,0.0,0.0,
INTELLECT,2024Q2,30.05,0.0,0.0,0.0,
INTELLECT,2024Q3,29.95,0.0,0.0,0.0,
INTELLECT,2024Q4,30.35,0.0,0.0,0.0,
INTELLECT,2025Q1,29.87,,,,
INTELLECT,2025Q2,29.84,,,,
INTELLECT,2025Q3,29.81,,,,
INTELLECT,2025Q4,29.91,0.0,0.0,0.0,
INTELLECT,2026Q4,29.73,,,,
