nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
IPCALAB,2015Q1,0.0,,,,
IPCALAB,2015Q2,0.0,,,,
IPCALAB,2015Q3,45.89,,,,
IPCALAB,2015Q4,0.0,,,,
IPCALAB,2016Q1,45.9,,,,
IPCALAB,2016Q2,46.01,,,,
IPCALAB,2016Q3,46.13,,,,
IPCALAB,2016Q4,45.89,,,,
IPCALAB,2017Q1,46.13,,,,
IPCALAB,2017Q2,46.13,,,,
IPCALAB,2017Q3,46.13,,,,
IPCALAB,2017Q4,46.13,,,,
IPCALAB,2018Q1,46.07,,,,
IPCALAB,2018Q2,46.07,,,,
IPCALAB,2018Q3,46.07,,,,
IPCALAB,2018Q4,46.13,,,,
IPCALAB,2019Q1,46.07,,,,
IPCALAB,2019Q2,46.07,,,,
IPCALAB,2019Q3,46.07,0.0,0.0,0.0,
IPCALAB,2019Q4,46.07,,,,
IPCALAB,2020Q1,46.07,0.0,0.0,0.0,
IPCALAB,2020Q2,46.07,0.0,0.0,0.0,
IPCALAB,2020Q3,46.29,0.0,0.0,0.0,
IPCALAB,2020Q4,46.07,0.0,0.0,0.0,
IPCALAB,2021Q1,46.29,0.0,0.0,0.0,
IPCALAB,2021Q2,46.29,0.0,0.0,0.0,
IPCALAB,2021Q3,46.29,0.0,0.0,0.0,
IPCALAB,2021Q4,46.29,0.0,0.0,0.0,
IPCALAB,2022Q1,46.29,0.0,0.0,0.0,
IPCALAB,2022Q2,46.29,0.0,0.0,0.0,
IPCALAB,2022Q3,46.29,0.0,0.0,0.0,
IPCALAB,2022Q4,46.29,0.0,0.0,0.0,
IPCALAB,2023Q1,46.29,0.0,0.0,0.0,
IPCALAB,2023Q2,46.29,0.0,0.0,0.0,
IPCALAB,2023Q3,46.29,0.0,0.0,0.0,
IPCALAB,2023Q4,46.29,0.0,0.0,0.0,
IPCALAB,2024Q1,46.3,0.0,0.0,0.0,
IPCALAB,2024Q2,46.3,0.0,0.0,0.0,
IPCALAB,2024Q3,44.72,0.0,0.0,0.0,
IPCALAB,2024Q4,46.3,0.0,0.0,0.0,
IPCALAB,2025Q1,44.72,,,,
IPCALAB,2025Q2,44.72,,,,
IPCALAB,2025Q3,44.72,,,,
IPCALAB,2025Q4,44.72,0.0,0.0,0.0,
IPCALAB,2026Q4,44.72,,,,
