nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
JBCHEPHARM,2015Q1,0.0,,,,
JBCHEPHARM,2015Q2,0.0,,,,
JBCHEPHARM,2015Q3,55.77,,,,
JBCHEPHARM,2015Q4,0.0,,,,
JBCHEPHARM,2016Q1,55.77,,,,
JBCHEPHARM,2016Q2,55.77,,,,
JBCHEPHARM,2016Q3,55.76,,,,
JBCHEPHARM,2016Q4,55.77,,,,
JBCHEPHARM,2017Q1,55.76,,,,
JBCHEPHARM,2017Q2,55.85,,,,
JBCHEPHARM,2017Q3,55.84,,,,
JBCHEPHARM,2017Q4,55.76,,,,
JBCHEPHARM,2018Q1,55.81,,,,
JBCHEPHARM,2018Q2,55.81,,,,
JBCHEPHARM,2018Q3,56.06,,,,
JBCHEPHARM,2018Q4,55.84,,,,
JBCHEPHARM,2019Q1,56.02,,,,
JBCHEPHARM,2019Q2,56.02,,,,
JBCHEPHARM,2019Q3,55.68,0.0,0.0,0.0,
JBCHEPHARM,2019Q4,56.02,,,,
JBCHEPHARM,2020Q1,55.91,0.0,0.0,0.0,
JBCHEPHARM,2020Q2,55.91,0.0,0.0,0.0,
JBCHEPHARM,2020Q3,55.91,0.0,0.0,0.0,
JBCHEPHARM,2020Q4,55.91,0.0,0.0,0.0,
JBCHEPHARM,2021Q1,55.91,0.0,0.0,0.0,
JBCHEPHARM,2021Q2,55.91,0.0,0.0,0.0,
JBCHEPHARM,2021Q3,54.0,0.0,0.0,0.0,
JBCHEPHARM,2021Q4,55.91,0.0,0.0,0.0,
JBCHEPHARM,2022Q1,54.0,0.0,0.0,0.0,
JBCHEPHARM,2022Q2,53.96,0.0,0.0,0.0,
JBCHEPHARM,2022Q3,53.95,,,,
JBCHEPHARM,2022Q4,54.0,0.0,0.0,0.0,
JBCHEPHARM,2023Q1,53.91,0.0,0.0,0.0,
JBCHEPHARM,2023Q2,53.86,0.0,0.0,0.0,
JBCHEPHARM,2023Q3,53.83,0.0,0.0,0.0,
JBCHEPHARM,2023Q4,53.93,0.0,0.0,0.0,
JBCHEPHARM,2024Q1,53.77,0.0,0.0,0.0,
JBCHEPHARM,2024Q2,53.74,0.0,0.0,0.0,
JBCHEPHARM,2024Q3,53.66,0.0,0.0,0.0,
JBCHEPHARM,2024Q4,53.78,0.0,0.0,0.0,
JBCHEPHARM,2025Q1,47.73,,,,
JBCHEPHARM,2025Q2,47.56,,,,
JBCHEPHARM,2025Q3,47.55,,,,
JBCHEPHARM,2025Q4,47.84,0.0,0.0,0.0,
JBCHEPHARM,2026Q4,48.8,,,,
