nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
JINDALSTEL,2015Q1,0.0,,,,
JINDALSTEL,2015Q2,0.0,,,,
JINDALSTEL,2015Q3,61.89,,,,
JINDALSTEL,2015Q4,0.0,,,,
JINDALSTEL,2016Q1,61.89,,,,
JINDALSTEL,2016Q2,61.89,,,,
JINDALSTEL,2016Q3,61.89,,,,
JINDALSTEL,2016Q4,61.89,,,,
JINDALSTEL,2017Q1,61.89,,,,
JINDALSTEL,2017Q2,61.89,,,,
JINDALSTEL,2017Q3,61.96,,,,
JINDALSTEL,2017Q4,61.89,,,,
JINDALSTEL,2018Q1,58.66,158874946.0,47.6986,27.98,
JINDALSTEL,2018Q2,58.66,210585487.0,63.2288,37.09,
JINDALSTEL,2018Q3,58.66,285018594.0,85.5779,50.2,
JINDALSTEL,2018Q4,58.66,,,,
JINDALSTEL,2019Q1,60.14,308207120.0,84.9518,51.09,
JINDALSTEL,2019Q2,60.4,423372513.0,113.7748,68.72,
JINDALSTEL,2019Q3,60.4,404023695.0,108.5762,65.58,
JINDALSTEL,2019Q4,58.69,307322120.0,92.1792,54.1,
JINDALSTEL,2020Q1,60.48,353319090.0,94.709,57.28,
JINDALSTEL,2020Q2,60.47,310700136.0,83.2975,50.37,
JINDALSTEL,2020Q3,60.47,294586698.0,78.9813,47.76,
JINDALSTEL,2020Q4,60.48,461420032.0,123.6772,74.8,
JINDALSTEL,2021Q1,60.47,243725363.0,65.3547,39.52,
JINDALSTEL,2021Q2,60.47,243620579.0,65.3216,39.5,
JINDALSTEL,2021Q3,60.44,247252644.0,66.3468,40.1,
JINDALSTEL,2021Q4,60.47,256877028.0,68.8771,41.65,
JINDALSTEL,2022Q1,60.44,291095364.0,78.1105,47.21,
JINDALSTEL,2022Q2,61.2,254967832.0,66.732,40.84,
JINDALSTEL,2022Q3,61.2,244483532.0,63.9869,39.16,
JINDALSTEL,2022Q4,60.45,246533126.0,66.1373,39.98,
JINDALSTEL,2023Q1,61.2,213860114.0,55.9804,34.26,
JINDALSTEL,2023Q2,61.2,82709721.0,21.6503,13.25,
JINDALSTEL,2023Q3,61.2,80674800.0,21.1111,12.92,
JINDALSTEL,2023Q4,61.2,227436645.0,59.5261,36.43,
JINDALSTEL,2024Q1,61.19,80850256.0,21.1636,12.95,
JINDALSTEL,2024Q2,61.19,81803007.0,21.4251,13.11,
JINDALSTEL,2024Q3,61.19,79678007.0,20.8694,12.77,
JINDALSTEL,2024Q4,61.2,81825030.0,21.4216,13.11,
JINDALSTEL,2025Q1,62.36,,,,
JINDALSTEL,2025Q2,62.37,,,,
JINDALSTEL,2025Q3,62.69,,,,
JINDALSTEL,2025Q4,62.22,72006787.0,18.2417,11.35,
