nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
JKPAPER,2015Q1,0.0,,,,
JKPAPER,2015Q2,0.0,,,,
JKPAPER,2015Q3,57.74,,,,
JKPAPER,2015Q4,0.0,,,,
JKPAPER,2016Q1,57.74,,,,
JKPAPER,2016Q2,57.74,,,,
JKPAPER,2016Q3,54.99,,,,
JKPAPER,2016Q4,57.74,,,,
JKPAPER,2017Q1,50.78,,,,
JKPAPER,2017Q2,51.1,,,,
JKPAPER,2017Q3,49.95,,,,
JKPAPER,2017Q4,54.99,,,,
JKPAPER,2018Q1,48.41,,,,
JKPAPER,2018Q2,48.41,,,,
JKPAPER,2018Q3,48.42,,,,
JKPAPER,2018Q4,49.17,,,,
JKPAPER,2019Q1,48.4,,,,
JKPAPER,2019Q2,48.4,,,,
JKPAPER,2019Q3,48.4,0.0,0.0,0.0,
JKPAPER,2019Q4,48.42,,,,
JKPAPER,2020Q1,49.36,0.0,0.0,0.0,
JKPAPER,2020Q2,51.11,0.0,0.0,0.0,
JKPAPER,2020Q3,51.44,0.0,0.0,0.0,
JKPAPER,2020Q4,48.88,0.0,0.0,0.0,
JKPAPER,2021Q1,51.44,0.0,0.0,0.0,
JKPAPER,2021Q2,49.52,0.0,0.0,0.0,
JKPAPER,2021Q3,49.52,0.0,0.0,0.0,
JKPAPER,2021Q4,51.44,0.0,0.0,0.0,
JKPAPER,2022Q1,49.63,0.0,0.0,0.0,
JKPAPER,2022Q2,49.63,0.0,0.0,0.0,
JKPAPER,2022Q3,49.63,0.0,0.0,0.0,
JKPAPER,2022Q4,49.63,0.0,0.0,0.0,
JKPAPER,2023Q1,49.63,0.0,0.0,0.0,
JKPAPER,2023Q2,49.63,0.0,0.0,0.0,
JKPAPER,2023Q3,49.63,0.0,0.0,0.0,
JKPAPER,2023Q4,49.63,0.0,0.0,0.0,
JKPAPER,2024Q1,49.63,0.0,0.0,0.0,
JKPAPER,2024Q2,49.63,0.0,0.0,0.0,
JKPAPER,2024Q3,49.63,0.0,0.0,0.0,
JKPAPER,2024Q4,49.63,0.0,0.0,0.0,
JKPAPER,2025Q1,49.63,,,,
JKPAPER,2025Q2,49.63,,,,
JKPAPER,2025Q3,49.63,,,,
JKPAPER,2025Q4,49.63,0.0,0.0,0.0,
JKPAPER,2026Q4,52.94,,,,
