nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
JUBLFOOD,2015Q1,0.0,,,,
JUBLFOOD,2015Q2,0.0,,,,
JUBLFOOD,2015Q3,48.7,,,,
JUBLFOOD,2015Q4,0.0,,,,
JUBLFOOD,2016Q1,45.04,,,,
JUBLFOOD,2016Q2,45.04,,,,
JUBLFOOD,2016Q3,44.96,,,,
JUBLFOOD,2016Q4,48.67,,,,
JUBLFOOD,2017Q1,44.94,,,,
JUBLFOOD,2017Q2,44.94,,,,
JUBLFOOD,2017Q3,44.94,,,,
JUBLFOOD,2017Q4,44.96,,,,
JUBLFOOD,2018Q1,44.94,6182000.0,23.1865,10.42,
JUBLFOOD,2018Q2,44.94,8316000.0,31.1972,14.02,
JUBLFOOD,2018Q3,44.94,10896000.0,40.8767,18.37,
JUBLFOOD,2018Q4,44.94,3526000.0,26.4575,11.89,
JUBLFOOD,2019Q1,41.94,1305900.0,5.6271,2.36,
JUBLFOOD,2019Q2,41.94,1403900.0,6.0563,2.54,
JUBLFOOD,2019Q3,41.94,1600000.0,6.8908,2.89,
JUBLFOOD,2019Q4,41.94,6980200.0,30.0668,12.61,
JUBLFOOD,2020Q1,41.94,1500000.0,6.4616,2.71,
JUBLFOOD,2020Q2,41.94,1500000.0,6.4616,2.71,
JUBLFOOD,2020Q3,41.94,1200000.0,5.1741,2.17,
JUBLFOOD,2020Q4,41.94,2000000.0,8.6075,3.61,
JUBLFOOD,2021Q1,41.94,1200000.0,5.1741,2.17,
JUBLFOOD,2021Q2,41.94,825000.0,3.5527,1.49,
JUBLFOOD,2021Q3,41.94,725000.0,3.1235,1.31,
JUBLFOOD,2021Q4,41.94,1200000.0,5.1741,2.17,
JUBLFOOD,2022Q1,41.94,5100000.0,4.3872,1.84,
JUBLFOOD,2022Q2,41.94,4620000.0,3.9819,1.67,
JUBLFOOD,2022Q3,41.94,4600000.0,3.958,1.66,
JUBLFOOD,2022Q4,41.94,,,,
JUBLFOOD,2023Q1,41.94,1750000.0,1.5021,0.63,
JUBLFOOD,2023Q2,41.94,2200000.0,1.8836,0.79,
JUBLFOOD,2023Q3,41.94,2200000.0,1.8836,0.79,
JUBLFOOD,2023Q4,41.94,4600000.0,3.958,1.66,
JUBLFOOD,2024Q1,41.94,13780000.0,11.8741,4.98,
JUBLFOOD,2024Q2,41.94,13780000.0,11.8741,4.98,
JUBLFOOD,2024Q3,41.94,13780000.0,11.8741,4.98,
JUBLFOOD,2024Q4,41.94,13780000.0,11.8741,4.98,
JUBLFOOD,2025Q1,40.27,,,,
JUBLFOOD,2025Q2,40.27,,,,
JUBLFOOD,2025Q3,40.27,,,,
JUBLFOOD,2025Q4,41.94,13780000.0,11.8741,4.98,
