nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
JUSTDIAL,2015Q1,0.0,,,,
JUSTDIAL,2015Q2,0.0,,,,
JUSTDIAL,2015Q3,32.58,,,,
JUSTDIAL,2015Q4,0.0,,,,
JUSTDIAL,2016Q1,32.45,,,,
JUSTDIAL,2016Q2,33.15,,,,
JUSTDIAL,2016Q3,33.29,,,,
JUSTDIAL,2016Q4,32.5,,,,
JUSTDIAL,2017Q1,33.16,,,,
JUSTDIAL,2017Q2,34.18,,,,
JUSTDIAL,2017Q3,34.24,,,,
JUSTDIAL,2017Q4,33.17,,,,
JUSTDIAL,2018Q1,33.92,557710.0,7.1934,2.44,
JUSTDIAL,2018Q2,33.91,642710.0,8.2866,2.81,
JUSTDIAL,2018Q3,33.76,496120.0,6.4573,2.18,
JUSTDIAL,2018Q4,33.99,557710.0,7.1492,2.43,
JUSTDIAL,2019Q1,33.84,496120.0,6.6785,2.26,
JUSTDIAL,2019Q2,33.0,500120.0,7.0909,2.34,
JUSTDIAL,2019Q3,32.95,491120.0,6.9803,2.3,
JUSTDIAL,2019Q4,33.84,496120.0,6.6785,2.26,
JUSTDIAL,2020Q2,34.28,344720.0,4.755,1.63,
JUSTDIAL,2020Q3,35.56,216720.0,2.784,0.99,
JUSTDIAL,2020Q4,33.44,374720.0,5.1734,1.73,
JUSTDIAL,2021Q1,35.32,211720.0,2.718,0.96,
JUSTDIAL,2021Q2,51.68,8888632.0,39.8413,20.59,
JUSTDIAL,2021Q3,77.66,8888632.0,17.6281,13.69,
JUSTDIAL,2021Q4,35.55,211720.0,2.7004,0.96,
JUSTDIAL,2022Q1,77.05,8888632.0,17.7677,13.69,
JUSTDIAL,2022Q2,76.98,8888632.0,17.7968,13.7,
JUSTDIAL,2022Q3,74.98,8888632.0,18.7517,14.06,
JUSTDIAL,2022Q4,77.64,8888632.0,17.6327,13.69,
JUSTDIAL,2023Q1,74.3,8888632.0,18.9367,14.07,
JUSTDIAL,2023Q2,74.3,8888632.0,18.9367,14.07,
JUSTDIAL,2023Q3,74.3,8888632.0,18.9367,14.07,
JUSTDIAL,2023Q4,74.96,8888632.0,18.7567,14.06,
JUSTDIAL,2024Q1,74.18,8791654.0,18.7921,13.94,
JUSTDIAL,2024Q2,74.15,8768154.0,18.7458,13.9,
JUSTDIAL,2024Q3,74.15,8768154.0,18.7458,13.9,
JUSTDIAL,2024Q4,74.3,8888632.0,18.9367,14.07,
JUSTDIAL,2025Q1,74.15,,,,
JUSTDIAL,2025Q2,74.15,,,,
JUSTDIAL,2025Q3,74.15,,,,
JUSTDIAL,2025Q4,74.15,8768154.0,18.7458,13.9,
