nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
JYOTHYLAB,2015Q1,0.0,,,,
JYOTHYLAB,2015Q2,0.0,,,,
JYOTHYLAB,2015Q3,66.74,,,,
JYOTHYLAB,2015Q4,0.0,,,,
JYOTHYLAB,2016Q1,66.85,,,,
JYOTHYLAB,2016Q2,66.93,,,,
JYOTHYLAB,2016Q3,66.92,,,,
JYOTHYLAB,2016Q4,66.74,,,,
JYOTHYLAB,2017Q1,66.89,,,,
JYOTHYLAB,2017Q2,66.87,,,,
JYOTHYLAB,2017Q3,66.85,,,,
JYOTHYLAB,2017Q4,66.89,,,,
JYOTHYLAB,2018Q1,66.85,21955000.0,27.0157,18.06,
JYOTHYLAB,2018Q2,66.85,46875000.0,28.8407,19.28,
JYOTHYLAB,2018Q3,67.11,61110000.0,36.9543,24.8,
JYOTHYLAB,2018Q4,66.85,21955000.0,27.0157,18.06,
JYOTHYLAB,2019Q1,67.11,65700000.0,39.7258,26.66,
JYOTHYLAB,2019Q2,67.11,61500000.0,37.1927,24.96,
JYOTHYLAB,2019Q3,62.89,19700000.0,13.5634,8.53,
JYOTHYLAB,2019Q4,67.11,58585000.0,35.4195,23.77,
JYOTHYLAB,2020Q1,62.89,19700000.0,13.5634,8.53,
JYOTHYLAB,2020Q2,62.89,0.0,0.0,0.0,
JYOTHYLAB,2020Q3,62.89,0.0,0.0,0.0,
JYOTHYLAB,2020Q4,62.89,19700000.0,13.5634,8.53,
JYOTHYLAB,2021Q1,62.89,0.0,0.0,0.0,
JYOTHYLAB,2021Q2,62.89,0.0,0.0,0.0,
JYOTHYLAB,2021Q3,62.89,0.0,0.0,0.0,
JYOTHYLAB,2021Q4,62.89,0.0,0.0,0.0,
JYOTHYLAB,2022Q1,62.89,0.0,0.0,0.0,
JYOTHYLAB,2022Q2,62.89,0.0,0.0,0.0,
JYOTHYLAB,2022Q3,62.89,0.0,0.0,0.0,
JYOTHYLAB,2022Q4,62.89,0.0,0.0,0.0,
JYOTHYLAB,2023Q1,62.89,0.0,0.0,0.0,
JYOTHYLAB,2023Q2,62.89,0.0,0.0,0.0,
JYOTHYLAB,2023Q3,62.89,0.0,0.0,0.0,
JYOTHYLAB,2023Q4,62.89,0.0,0.0,0.0,
JYOTHYLAB,2024Q1,62.89,0.0,0.0,0.0,
JYOTHYLAB,2024Q2,62.89,0.0,0.0,0.0,
JYOTHYLAB,2024Q3,62.89,0.0,0.0,0.0,
JYOTHYLAB,2024Q4,62.89,0.0,0.0,0.0,
JYOTHYLAB,2025Q1,62.89,,,,
JYOTHYLAB,2025Q2,62.89,,,,
JYOTHYLAB,2025Q3,62.89,,,,
JYOTHYLAB,2025Q4,62.89,0.0,0.0,0.0,
