nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
KIRLOSENG,2015Q1,0.0,,,,
KIRLOSENG,2015Q2,0.0,,,,
KIRLOSENG,2015Q3,59.3,,,,
KIRLOSENG,2015Q4,0.0,,,,
KIRLOSENG,2016Q1,59.3,,,,
KIRLOSENG,2016Q2,59.33,,,,
KIRLOSENG,2016Q3,59.33,,,,
KIRLOSENG,2016Q4,59.3,,,,
KIRLOSENG,2017Q1,59.33,,,,
KIRLOSENG,2017Q2,59.33,,,,
KIRLOSENG,2017Q3,59.33,,,,
KIRLOSENG,2017Q4,59.33,,,,
KIRLOSENG,2018Q1,59.33,,,,
KIRLOSENG,2018Q2,59.33,,,,
KIRLOSENG,2018Q3,59.34,,,,
KIRLOSENG,2018Q4,59.33,,,,
KIRLOSENG,2019Q1,59.34,,,,
KIRLOSENG,2019Q2,59.44,,,,
KIRLOSENG,2019Q3,59.44,0.0,0.0,0.0,
KIRLOSENG,2019Q4,59.34,,,,
KIRLOSENG,2020Q1,59.44,0.0,0.0,0.0,
KIRLOSENG,2020Q2,59.44,0.0,0.0,0.0,
KIRLOSENG,2020Q3,59.44,,,,
KIRLOSENG,2020Q4,59.44,0.0,0.0,0.0,
KIRLOSENG,2021Q1,59.44,0.0,0.0,0.0,
KIRLOSENG,2021Q2,59.44,0.0,0.0,0.0,
KIRLOSENG,2021Q3,59.44,0.0,0.0,0.0,
KIRLOSENG,2021Q4,59.44,0.0,0.0,0.0,
KIRLOSENG,2022Q1,59.44,0.0,0.0,0.0,
KIRLOSENG,2022Q2,59.44,0.0,0.0,0.0,
KIRLOSENG,2022Q3,59.42,0.0,0.0,0.0,
KIRLOSENG,2022Q4,59.44,0.0,0.0,0.0,
KIRLOSENG,2023Q1,41.23,0.0,0.0,0.0,
KIRLOSENG,2023Q2,41.23,0.0,0.0,0.0,
KIRLOSENG,2023Q3,41.23,0.0,0.0,0.0,
KIRLOSENG,2023Q4,41.25,0.0,0.0,0.0,
KIRLOSENG,2024Q1,41.18,0.0,0.0,0.0,
KIRLOSENG,2024Q2,41.17,0.0,0.0,0.0,
KIRLOSENG,2024Q3,41.16,0.0,0.0,0.0,
KIRLOSENG,2024Q4,41.21,0.0,0.0,0.0,
KIRLOSENG,2025Q1,41.13,,,,
KIRLOSENG,2025Q2,41.12,,,,
KIRLOSENG,2025Q3,41.08,,,,
KIRLOSENG,2025Q4,41.15,0.0,0.0,0.0,
