nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
KOTAKBANK,2015Q1,0.0,,,,
KOTAKBANK,2015Q2,0.0,,,,
KOTAKBANK,2015Q3,33.73,,,,
KOTAKBANK,2015Q4,0.0,,,,
KOTAKBANK,2016Q1,33.68,,,,
KOTAKBANK,2016Q2,33.65,,,,
KOTAKBANK,2016Q3,33.61,,,,
KOTAKBANK,2016Q4,33.7,,,,
KOTAKBANK,2017Q1,30.07,,,,
KOTAKBANK,2017Q2,30.07,,,,
KOTAKBANK,2017Q3,30.06,,,,
KOTAKBANK,2017Q4,32.08,,,,
KOTAKBANK,2018Q1,30.03,0.0,0.0,0.0,
KOTAKBANK,2018Q2,30.02,,,,
KOTAKBANK,2018Q3,30.01,,,,
KOTAKBANK,2018Q4,30.04,,,,
KOTAKBANK,2019Q1,29.98,,,,
KOTAKBANK,2019Q2,29.97,,,,
KOTAKBANK,2019Q3,29.96,0.0,0.0,0.0,
KOTAKBANK,2019Q4,29.99,,,,
KOTAKBANK,2020Q1,26.07,0.0,0.0,0.0,
KOTAKBANK,2020Q2,26.05,0.0,0.0,0.0,
KOTAKBANK,2020Q3,26.03,0.0,0.0,0.0,
KOTAKBANK,2020Q4,29.92,0.0,0.0,0.0,
KOTAKBANK,2021Q1,26.0,0.0,0.0,0.0,
KOTAKBANK,2021Q2,26.0,0.0,0.0,0.0,
KOTAKBANK,2021Q3,25.99,0.0,0.0,0.0,
KOTAKBANK,2021Q4,26.02,0.0,0.0,0.0,
KOTAKBANK,2022Q1,25.97,0.0,0.0,0.0,
KOTAKBANK,2022Q2,25.96,0.0,0.0,0.0,
KOTAKBANK,2022Q3,25.95,0.0,0.0,0.0,
KOTAKBANK,2022Q4,25.98,0.0,0.0,0.0,
KOTAKBANK,2023Q1,25.94,0.0,0.0,0.0,
KOTAKBANK,2023Q2,25.93,0.0,0.0,0.0,
KOTAKBANK,2023Q3,25.91,0.0,0.0,0.0,
KOTAKBANK,2023Q4,25.95,0.0,0.0,0.0,
KOTAKBANK,2024Q1,25.89,0.0,0.0,0.0,
KOTAKBANK,2024Q2,25.89,0.0,0.0,0.0,
KOTAKBANK,2024Q3,25.89,0.0,0.0,0.0,
KOTAKBANK,2024Q4,25.9,0.0,0.0,0.0,
KOTAKBANK,2025Q1,25.88,,,,
KOTAKBANK,2025Q2,25.88,,,,
KOTAKBANK,2025Q3,25.87,,,,
KOTAKBANK,2025Q4,25.88,0.0,0.0,0.0,
KOTAKBANK,2026Q4,25.87,,,,
