nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
LALPATHLAB,2015Q3,58.7,,,,
LALPATHLAB,2016Q1,58.63,,,,
LALPATHLAB,2016Q2,58.61,,,,
LALPATHLAB,2016Q3,58.61,,,,
LALPATHLAB,2016Q4,58.68,,,,
LALPATHLAB,2017Q1,57.92,,,,
LALPATHLAB,2017Q2,57.92,,,,
LALPATHLAB,2017Q3,57.42,,,,
LALPATHLAB,2017Q4,58.22,,,,
LALPATHLAB,2018Q1,57.41,,,,
LALPATHLAB,2018Q2,57.41,,,,
LALPATHLAB,2018Q3,56.91,,,,
LALPATHLAB,2018Q4,57.42,,,,
LALPATHLAB,2019Q1,56.91,,,,
LALPATHLAB,2019Q2,56.91,,,,
LALPATHLAB,2019Q3,56.81,0.0,0.0,0.0,
LALPATHLAB,2019Q4,56.91,,,,
LALPATHLAB,2020Q1,56.32,0.0,0.0,0.0,
LALPATHLAB,2020Q2,55.23,0.0,0.0,0.0,
LALPATHLAB,2020Q3,55.23,0.0,0.0,0.0,
LALPATHLAB,2020Q4,56.77,0.0,0.0,0.0,
LALPATHLAB,2021Q1,55.23,0.0,0.0,0.0,
LALPATHLAB,2021Q2,55.23,0.0,0.0,0.0,
LALPATHLAB,2021Q3,55.23,0.0,0.0,0.0,
LALPATHLAB,2021Q4,55.23,0.0,0.0,0.0,
LALPATHLAB,2022Q1,55.05,0.0,0.0,0.0,
LALPATHLAB,2022Q2,55.05,0.0,0.0,0.0,
LALPATHLAB,2022Q3,55.05,0.0,0.0,0.0,
LALPATHLAB,2022Q4,55.23,0.0,0.0,0.0,
LALPATHLAB,2023Q1,55.01,0.0,0.0,0.0,
LALPATHLAB,2023Q2,54.61,0.0,0.0,0.0,
LALPATHLAB,2023Q3,54.6,0.0,0.0,0.0,
LALPATHLAB,2023Q4,55.03,0.0,0.0,0.0,
LALPATHLAB,2024Q1,54.6,0.0,0.0,0.0,
LALPATHLAB,2024Q2,53.92,0.0,0.0,0.0,
LALPATHLAB,2024Q3,53.91,0.0,0.0,0.0,
LALPATHLAB,2024Q4,54.6,0.0,0.0,0.0,
LALPATHLAB,2025Q1,53.79,,,,
LALPATHLAB,2025Q2,53.21,,,,
LALPATHLAB,2025Q3,53.21,,,,
LALPATHLAB,2025Q4,53.91,0.0,0.0,0.0,
