nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
LATENTVIEW,2021Q3,68.1,0.0,0.0,0.0,
LATENTVIEW,2022Q1,67.21,0.0,0.0,0.0,
LATENTVIEW,2022Q2,67.21,0.0,0.0,0.0,
LATENTVIEW,2022Q3,66.31,0.0,0.0,0.0,
LATENTVIEW,2022Q4,67.21,0.0,0.0,0.0,
LATENTVIEW,2023Q1,65.74,0.0,0.0,0.0,
LATENTVIEW,2023Q2,65.74,0.0,0.0,0.0,
LATENTVIEW,2023Q3,65.42,0.0,0.0,0.0,
LATENTVIEW,2023Q4,65.74,0.0,0.0,0.0,
LATENTVIEW,2024Q1,65.39,0.0,0.0,0.0,
LATENTVIEW,2024Q2,65.39,0.0,0.0,0.0,
LATENTVIEW,2024Q3,65.24,0.0,0.0,0.0,
LATENTVIEW,2024Q4,65.42,0.0,0.0,0.0,
LATENTVIEW,2025Q1,65.2,,,,
LATENTVIEW,2025Q2,65.2,,,,
LATENTVIEW,2025Q3,65.1,,,,
LATENTVIEW,2025Q4,65.24,0.0,0.0,0.0,
LATENTVIEW,2026Q4,65.1,,,,
