nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
LICHSGFIN,2015Q1,0.0,,,,
LICHSGFIN,2015Q2,0.0,,,,
LICHSGFIN,2015Q3,40.31,,,,
LICHSGFIN,2015Q4,0.0,,,,
LICHSGFIN,2016Q1,40.31,,,,
LICHSGFIN,2016Q2,40.31,,,,
LICHSGFIN,2016Q3,40.31,,,,
LICHSGFIN,2016Q4,40.31,,,,
LICHSGFIN,2017Q1,40.31,,,,
LICHSGFIN,2017Q2,40.31,,,,
LICHSGFIN,2017Q3,40.31,,,,
LICHSGFIN,2017Q4,40.31,,,,
LICHSGFIN,2018Q1,40.31,,,,
LICHSGFIN,2018Q2,40.31,,,,
LICHSGFIN,2018Q3,40.31,,,,
LICHSGFIN,2018Q4,40.31,,,,
LICHSGFIN,2019Q1,40.31,,,,
LICHSGFIN,2019Q2,40.31,,,,
LICHSGFIN,2019Q3,40.31,0.0,0.0,0.0,
LICHSGFIN,2019Q4,40.31,,,,
LICHSGFIN,2020Q1,40.31,0.0,0.0,0.0,
LICHSGFIN,2020Q2,40.31,0.0,0.0,0.0,
LICHSGFIN,2020Q3,40.31,0.0,0.0,0.0,
LICHSGFIN,2020Q4,40.31,0.0,0.0,0.0,
LICHSGFIN,2021Q1,40.31,0.0,0.0,0.0,
LICHSGFIN,2021Q2,45.24,0.0,0.0,0.0,
LICHSGFIN,2021Q3,45.24,0.0,0.0,0.0,
LICHSGFIN,2021Q4,40.31,0.0,0.0,0.0,
LICHSGFIN,2022Q1,45.24,0.0,0.0,0.0,
LICHSGFIN,2022Q2,45.24,0.0,0.0,0.0,
LICHSGFIN,2022Q3,45.24,0.0,0.0,0.0,
LICHSGFIN,2022Q4,45.24,0.0,0.0,0.0,
LICHSGFIN,2023Q1,45.24,0.0,0.0,0.0,
LICHSGFIN,2023Q2,45.24,0.0,0.0,0.0,
LICHSGFIN,2023Q3,45.24,0.0,0.0,0.0,
LICHSGFIN,2023Q4,45.24,0.0,0.0,0.0,
LICHSGFIN,2024Q1,45.24,0.0,0.0,0.0,
LICHSGFIN,2024Q2,45.24,0.0,0.0,0.0,
LICHSGFIN,2024Q3,45.24,0.0,0.0,0.0,
LICHSGFIN,2024Q4,45.24,0.0,0.0,0.0,
LICHSGFIN,2025Q1,45.24,,,,
LICHSGFIN,2025Q2,45.24,,,,
LICHSGFIN,2025Q3,45.24,,,,
LICHSGFIN,2025Q4,45.24,0.0,0.0,0.0,
LICHSGFIN,2026Q4,45.24,,,,
