nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
LUPIN,2015Q1,0.0,,,,
LUPIN,2015Q2,0.0,,,,
LUPIN,2015Q3,46.53,,,,
LUPIN,2015Q4,0.0,,,,
LUPIN,2016Q1,46.76,,,,
LUPIN,2016Q2,46.74,,,,
LUPIN,2016Q3,46.71,,,,
LUPIN,2016Q4,46.52,,,,
LUPIN,2017Q1,46.7,,,,
LUPIN,2017Q2,46.8,,,,
LUPIN,2017Q3,47.02,,,,
LUPIN,2017Q4,46.69,,,,
LUPIN,2018Q1,47.01,,,,
LUPIN,2018Q2,47.0,,,,
LUPIN,2018Q3,46.98,,,,
LUPIN,2018Q4,47.01,,,,
LUPIN,2019Q1,46.96,,,,
LUPIN,2019Q2,46.96,,,,
LUPIN,2019Q3,46.93,0.0,0.0,0.0,
LUPIN,2019Q4,46.97,,,,
LUPIN,2020Q1,46.92,0.0,0.0,0.0,
LUPIN,2020Q2,46.91,0.0,0.0,0.0,
LUPIN,2020Q3,46.88,0.0,0.0,0.0,
LUPIN,2020Q4,46.92,0.0,0.0,0.0,
LUPIN,2021Q1,46.84,0.0,0.0,0.0,
LUPIN,2021Q2,46.83,0.0,0.0,0.0,
LUPIN,2021Q3,46.81,0.0,0.0,0.0,
LUPIN,2021Q4,46.86,0.0,0.0,0.0,
LUPIN,2022Q1,47.1,0.0,0.0,0.0,
LUPIN,2022Q2,47.11,0.0,0.0,0.0,
LUPIN,2022Q3,47.1,0.0,0.0,0.0,
LUPIN,2022Q4,46.78,0.0,0.0,0.0,
LUPIN,2023Q1,47.07,0.0,0.0,0.0,
LUPIN,2023Q2,47.06,0.0,0.0,0.0,
LUPIN,2023Q3,47.04,0.0,0.0,0.0,
LUPIN,2023Q4,47.08,0.0,0.0,0.0,
LUPIN,2024Q1,46.98,0.0,0.0,0.0,
LUPIN,2024Q2,46.96,0.0,0.0,0.0,
LUPIN,2024Q3,46.95,0.0,0.0,0.0,
LUPIN,2024Q4,47.01,0.0,0.0,0.0,
LUPIN,2025Q1,46.9,,,,
LUPIN,2025Q2,46.9,,,,
LUPIN,2025Q3,46.89,,,,
LUPIN,2025Q4,46.92,0.0,0.0,0.0,
