nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
MANAPPURAM,2015Q1,0.0,,,,
MANAPPURAM,2015Q2,0.0,,,,
MANAPPURAM,2015Q3,32.57,,,,
MANAPPURAM,2015Q4,0.0,,,,
MANAPPURAM,2016Q1,34.36,,,,
MANAPPURAM,2016Q2,34.4,,,,
MANAPPURAM,2016Q3,34.45,,,,
MANAPPURAM,2016Q4,33.69,,,,
MANAPPURAM,2017Q1,34.45,,,,
MANAPPURAM,2017Q2,34.45,,,,
MANAPPURAM,2017Q3,34.66,,,,
MANAPPURAM,2017Q4,34.45,,,,
MANAPPURAM,2018Q1,34.64,9646154.0,9.5554,3.31,
MANAPPURAM,2018Q2,35.14,13500000.0,12.9767,4.56,
MANAPPURAM,2018Q3,35.14,14500000.0,13.9442,4.9,
MANAPPURAM,2018Q4,34.64,9646154.0,9.5554,3.31,
MANAPPURAM,2019Q1,35.12,10000000.0,9.6241,3.38,
MANAPPURAM,2019Q2,35.12,10000000.0,9.6241,3.38,
MANAPPURAM,2019Q3,35.05,6500000.0,6.2482,2.19,
MANAPPURAM,2019Q4,35.14,14500000.0,13.9442,4.9,
MANAPPURAM,2020Q1,35.04,5000000.0,4.8231,1.69,
MANAPPURAM,2020Q2,35.0,2288000.0,2.2,0.77,
MANAPPURAM,2020Q3,35.0,1700000.0,1.6286,0.57,
MANAPPURAM,2020Q4,35.05,6500000.0,6.2482,2.19,
MANAPPURAM,2021Q1,34.99,0.0,0.0,0.0,
MANAPPURAM,2021Q2,35.05,0.0,0.0,0.0,
MANAPPURAM,2021Q3,35.06,0.0,0.0,0.0,
MANAPPURAM,2021Q4,34.99,300000.0,0.2858,0.1,
MANAPPURAM,2022Q1,35.15,0.0,0.0,0.0,
MANAPPURAM,2022Q2,35.18,0.0,0.0,0.0,
MANAPPURAM,2022Q3,35.2,0.0,0.0,0.0,
MANAPPURAM,2022Q4,35.06,0.0,0.0,0.0,
MANAPPURAM,2023Q1,35.2,0.0,0.0,0.0,
MANAPPURAM,2023Q2,35.2,0.0,0.0,0.0,
MANAPPURAM,2023Q3,35.2,0.0,0.0,0.0,
MANAPPURAM,2023Q4,35.2,0.0,0.0,0.0,
MANAPPURAM,2024Q1,35.24,0.0,0.0,0.0,
MANAPPURAM,2024Q2,35.25,0.0,0.0,0.0,
MANAPPURAM,2024Q3,35.25,0.0,0.0,0.0,
MANAPPURAM,2024Q4,35.2,0.0,0.0,0.0,
MANAPPURAM,2025Q1,35.25,,,,
MANAPPURAM,2025Q2,35.25,,,,
MANAPPURAM,2025Q3,35.25,,,,
MANAPPURAM,2025Q4,35.25,0.0,0.0,0.0,
MANAPPURAM,2026Q4,31.77,,,,
