nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
MANINFRA,2015Q1,0.0,,,,
MANINFRA,2015Q2,0.0,,,,
MANINFRA,2015Q3,59.66,,,,
MANINFRA,2015Q4,0.0,,,,
MANINFRA,2016Q1,61.16,,,,
MANINFRA,2016Q2,61.55,,,,
MANINFRA,2016Q3,61.76,,,,
MANINFRA,2016Q4,60.25,,,,
MANINFRA,2017Q1,62.48,,,,
MANINFRA,2017Q2,62.97,,,,
MANINFRA,2017Q3,63.16,,,,
MANINFRA,2017Q4,62.04,,,,
MANINFRA,2018Q1,63.51,,,,
MANINFRA,2018Q2,63.93,,,,
MANINFRA,2018Q3,64.01,,,,
MANINFRA,2018Q4,63.35,,,,
MANINFRA,2019Q1,64.26,,,,
MANINFRA,2019Q2,64.32,,,,
MANINFRA,2019Q3,64.32,0.0,0.0,0.0,
MANINFRA,2019Q4,64.16,,,,
MANINFRA,2020Q1,64.58,0.0,0.0,0.0,
MANINFRA,2020Q2,65.22,0.0,0.0,0.0,
MANINFRA,2020Q3,65.5,0.0,0.0,0.0,
MANINFRA,2020Q4,64.58,0.0,0.0,0.0,
MANINFRA,2021Q1,66.1,0.0,0.0,0.0,
MANINFRA,2021Q2,66.48,0.0,0.0,0.0,
MANINFRA,2021Q3,66.72,0.0,0.0,0.0,
MANINFRA,2021Q4,65.72,0.0,0.0,0.0,
MANINFRA,2022Q1,66.87,0.0,0.0,0.0,
MANINFRA,2022Q2,67.03,0.0,0.0,0.0,
MANINFRA,2022Q3,67.12,0.0,0.0,0.0,
MANINFRA,2022Q4,66.79,0.0,0.0,0.0,
MANINFRA,2023Q1,67.12,0.0,0.0,0.0,
MANINFRA,2023Q2,67.15,0.0,0.0,0.0,
MANINFRA,2023Q3,67.19,0.0,0.0,0.0,
MANINFRA,2023Q4,67.12,0.0,0.0,0.0,
MANINFRA,2024Q1,67.31,0.0,0.0,0.0,
MANINFRA,2024Q2,67.18,0.0,0.0,0.0,
MANINFRA,2024Q3,66.62,0.0,0.0,0.0,
MANINFRA,2024Q4,67.31,0.0,0.0,0.0,
MANINFRA,2025Q1,65.1,,,,
MANINFRA,2025Q2,62.3,,,,
MANINFRA,2025Q3,62.44,,,,
MANINFRA,2025Q4,66.65,0.0,0.0,0.0,
MANINFRA,2026Q4,62.46,,,,
