nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
MAXHEALTH,2020Q2,82.24,89146776.0,14.5671,11.98,
MAXHEALTH,2020Q3,75.25,0.0,0.0,0.0,
MAXHEALTH,2021Q1,70.46,0.0,0.0,0.0,
MAXHEALTH,2021Q2,60.91,0.0,0.0,0.0,
MAXHEALTH,2021Q3,60.68,251145702.0,70.3527,42.69,
MAXHEALTH,2021Q4,70.46,0.0,0.0,0.0,
MAXHEALTH,2022Q1,50.64,251145702.0,101.0071,51.15,
MAXHEALTH,2022Q2,23.8,0.0,0.0,0.0,
MAXHEALTH,2022Q3,23.78,0.0,0.0,0.0,
MAXHEALTH,2022Q4,50.64,251145702.0,101.0071,51.15,
MAXHEALTH,2023Q1,23.76,0.0,0.0,0.0,
MAXHEALTH,2023Q2,23.76,0.0,0.0,0.0,
MAXHEALTH,2023Q3,23.75,0.0,0.0,0.0,
MAXHEALTH,2023Q4,23.77,0.0,0.0,0.0,
MAXHEALTH,2024Q1,23.74,0.0,0.0,0.0,
MAXHEALTH,2024Q2,23.74,0.0,0.0,0.0,
MAXHEALTH,2024Q3,23.74,0.0,0.0,0.0,
MAXHEALTH,2024Q4,23.75,0.0,0.0,0.0,
MAXHEALTH,2025Q1,23.74,,,,
MAXHEALTH,2025Q2,23.74,,,,
MAXHEALTH,2025Q3,23.72,,,,
MAXHEALTH,2025Q4,23.74,0.0,0.0,0.0,
