nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
MFSL,2015Q1,0.0,,,,
MFSL,2015Q2,0.0,,,,
MFSL,2015Q3,40.41,,,,
MFSL,2015Q4,0.0,,,,
MFSL,2016Q1,30.45,,,,
MFSL,2016Q2,30.45,,,,
MFSL,2016Q3,30.42,,,,
MFSL,2016Q4,30.45,,,,
MFSL,2017Q1,30.42,,,,
MFSL,2017Q2,30.29,,,,
MFSL,2017Q3,30.29,,,,
MFSL,2017Q4,30.42,,,,
MFSL,2018Q1,30.29,69730914.0,283.1628,85.77,
MFSL,2018Q2,30.29,64659914.0,262.5619,79.53,
MFSL,2018Q3,28.37,61933282.0,286.1121,81.17,
MFSL,2018Q4,30.29,65939669.0,267.7451,81.1,
MFSL,2019Q1,28.32,61320041.0,283.7571,80.36,
MFSL,2019Q2,28.32,69691157.0,322.4929,91.33,
MFSL,2019Q3,28.31,54587907.0,252.7022,71.54,
MFSL,2019Q4,28.33,59863362.0,276.9149,78.45,
MFSL,2020Q1,28.31,69833333.0,323.278,91.52,
MFSL,2020Q2,22.33,54373506.0,404.4783,90.32,
MFSL,2020Q3,17.36,,,,
MFSL,2020Q4,28.31,72308917.0,334.7227,94.76,
MFSL,2021Q1,14.72,31581439.0,422.3505,62.17,
MFSL,2021Q2,14.72,28802689.0,385.1902,56.7,
MFSL,2021Q3,14.72,32313039.0,432.1332,63.61,
MFSL,2021Q4,16.99,49557119.0,497.528,84.53,
MFSL,2022Q1,14.72,45158004.0,603.8723,88.89,
MFSL,2022Q2,14.72,47757004.0,638.6549,94.01,
MFSL,2022Q3,11.45,36735111.0,811.8777,92.96,
MFSL,2022Q4,14.72,44302039.0,592.4592,87.21,
MFSL,2023Q1,10.15,32674511.0,919.3103,93.31,
MFSL,2023Q2,6.52,13212198.0,900.0,58.68,
MFSL,2023Q3,6.52,13413412.0,913.6503,59.57,
MFSL,2023Q4,10.15,29781375.0,837.931,85.05,
MFSL,2024Q1,6.52,16356796.0,1114.1104,72.64,
MFSL,2024Q2,3.34,11050.0,2.994,0.1,
MFSL,2024Q3,3.34,0.0,0.0,0.0,
MFSL,2024Q4,6.52,15570547.0,1060.5828,69.15,
MFSL,2025Q1,1.74,,,,
MFSL,2025Q2,1.71,,,,
MFSL,2025Q3,1.25,,,,
MFSL,2025Q4,1.74,1725000.0,1647.7011,28.67,
MFSL,2026Q4,1.25,,,,
