nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
MIDHANI,2018Q1,74.0,,,,
MIDHANI,2018Q2,74.0,,,,
MIDHANI,2018Q3,74.0,,,,
MIDHANI,2019Q1,74.0,,,,
MIDHANI,2019Q2,74.0,,,,
MIDHANI,2019Q3,74.0,0.0,0.0,0.0,
MIDHANI,2019Q4,74.0,,,,
MIDHANI,2020Q1,74.0,0.0,0.0,0.0,
MIDHANI,2020Q2,74.0,0.0,0.0,0.0,
MIDHANI,2020Q3,74.0,0.0,0.0,0.0,
MIDHANI,2020Q4,74.0,0.0,0.0,0.0,
MIDHANI,2021Q1,74.0,0.0,0.0,0.0,
MIDHANI,2021Q2,74.0,0.0,0.0,0.0,
MIDHANI,2021Q3,74.0,0.0,0.0,0.0,
MIDHANI,2021Q4,74.0,0.0,0.0,0.0,
MIDHANI,2022Q1,74.0,0.0,0.0,0.0,
MIDHANI,2022Q2,74.0,0.0,0.0,0.0,
MIDHANI,2022Q3,74.0,0.0,0.0,0.0,
MIDHANI,2022Q4,74.0,0.0,0.0,0.0,
MIDHANI,2023Q1,74.0,0.0,0.0,0.0,
MIDHANI,2023Q2,74.0,0.0,0.0,0.0,
MIDHANI,2023Q3,74.0,0.0,0.0,0.0,
MIDHANI,2023Q4,74.0,0.0,0.0,0.0,
MIDHANI,2024Q1,74.0,0.0,0.0,0.0,
MIDHANI,2024Q2,74.0,0.0,0.0,0.0,
MIDHANI,2024Q3,74.0,0.0,0.0,0.0,
MIDHANI,2024Q4,74.0,0.0,0.0,0.0,
MIDHANI,2025Q1,74.0,,,,
MIDHANI,2025Q2,74.0,,,,
MIDHANI,2025Q3,74.0,,,,
MIDHANI,2025Q4,74.0,0.0,0.0,0.0,
