nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
MOIL,2015Q1,0.0,,,,
MOIL,2015Q2,0.0,,,,
MOIL,2015Q3,80.0,,,,
MOIL,2015Q4,0.0,,,,
MOIL,2016Q1,80.0,,,,
MOIL,2016Q2,80.0,,,,
MOIL,2016Q3,75.58,,,,
MOIL,2016Q4,80.0,,,,
MOIL,2017Q1,65.58,,,,
MOIL,2017Q2,65.58,,,,
MOIL,2017Q3,65.58,,,,
MOIL,2017Q4,65.58,,,,
MOIL,2018Q1,65.69,,,,
MOIL,2018Q2,65.69,,,,
MOIL,2018Q3,65.69,,,,
MOIL,2018Q4,65.69,,,,
MOIL,2019Q1,65.69,,,,
MOIL,2019Q2,65.69,,,,
MOIL,2019Q3,65.69,0.0,0.0,0.0,
MOIL,2019Q4,65.69,,,,
MOIL,2020Q1,64.35,0.0,0.0,0.0,
MOIL,2020Q2,64.35,0.0,0.0,0.0,
MOIL,2020Q3,64.35,0.0,0.0,0.0,
MOIL,2020Q4,64.35,0.0,0.0,0.0,
MOIL,2021Q1,64.35,0.0,0.0,0.0,
MOIL,2021Q2,64.35,0.0,0.0,0.0,
MOIL,2021Q3,64.35,0.0,0.0,0.0,
MOIL,2021Q4,64.35,0.0,0.0,0.0,
MOIL,2022Q1,64.68,0.0,0.0,0.0,
MOIL,2022Q2,64.68,0.0,0.0,0.0,
MOIL,2022Q3,64.68,0.0,0.0,0.0,
MOIL,2022Q4,64.68,0.0,0.0,0.0,
MOIL,2023Q1,64.68,0.0,0.0,0.0,
MOIL,2023Q2,64.68,0.0,0.0,0.0,
MOIL,2023Q3,64.68,0.0,0.0,0.0,
MOIL,2023Q4,64.68,0.0,0.0,0.0,
MOIL,2024Q1,64.68,0.0,0.0,0.0,
MOIL,2024Q2,64.68,0.0,0.0,0.0,
MOIL,2024Q3,64.68,0.0,0.0,0.0,
MOIL,2024Q4,64.68,0.0,0.0,0.0,
MOIL,2025Q1,64.68,,,,
MOIL,2025Q2,64.68,,,,
MOIL,2025Q3,64.68,,,,
MOIL,2025Q4,64.68,0.0,0.0,0.0,
MOIL,2026Q4,64.68,,,,
