nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
MOLDTKPAC,2015Q1,0.0,,,,
MOLDTKPAC,2015Q2,0.0,,,,
MOLDTKPAC,2015Q3,33.91,,,,
MOLDTKPAC,2015Q4,0.0,,,,
MOLDTKPAC,2016Q1,34.82,,,,
MOLDTKPAC,2016Q2,34.82,,,,
MOLDTKPAC,2016Q3,35.27,,,,
MOLDTKPAC,2016Q4,33.93,,,,
MOLDTKPAC,2017Q1,35.83,,,,
MOLDTKPAC,2017Q2,35.82,,,,
MOLDTKPAC,2017Q3,35.79,,,,
MOLDTKPAC,2017Q4,35.84,,,,
MOLDTKPAC,2018Q1,35.59,859000.0,24.5013,8.72,
MOLDTKPAC,2018Q2,35.53,859000.0,24.5708,8.73,
MOLDTKPAC,2018Q3,35.56,1094200.0,31.243,11.11,
MOLDTKPAC,2018Q4,35.77,,,,
MOLDTKPAC,2019Q1,35.54,1093650.0,31.2606,11.11,
MOLDTKPAC,2019Q2,35.64,1093650.0,31.0887,11.08,
MOLDTKPAC,2019Q3,35.18,777650.0,22.6549,7.97,
MOLDTKPAC,2019Q4,35.55,1094200.0,31.2799,11.12,
MOLDTKPAC,2020Q1,34.76,438650.0,13.0898,4.55,
MOLDTKPAC,2020Q2,34.76,314650.0,9.3786,3.26,
MOLDTKPAC,2020Q3,35.1,339650.0,9.7436,3.42,
MOLDTKPAC,2020Q4,34.69,499050.0,14.9611,5.19,
MOLDTKPAC,2021Q1,35.13,289650.0,8.2266,2.89,
MOLDTKPAC,2021Q2,33.73,289650.0,8.8645,2.99,
MOLDTKPAC,2021Q3,32.14,89650.0,2.8625,0.92,
MOLDTKPAC,2021Q4,35.22,289650.0,8.234,2.9,
MOLDTKPAC,2022Q1,34.23,80000.0,2.0742,0.71,
MOLDTKPAC,2022Q2,34.11,80000.0,2.0815,0.71,
MOLDTKPAC,2022Q3,34.01,25000.0,0.6469,0.22,
MOLDTKPAC,2022Q4,33.52,80000.0,2.2673,0.76,
MOLDTKPAC,2023Q1,33.31,25712.0,0.6905,0.23,
MOLDTKPAC,2023Q2,33.09,25000.0,0.6951,0.23,
MOLDTKPAC,2023Q3,32.86,25000.0,0.6999,0.23,
MOLDTKPAC,2023Q4,33.47,25712.0,0.6872,0.23,
MOLDTKPAC,2024Q1,32.76,75000.0,2.1062,0.69,
MOLDTKPAC,2024Q2,32.69,75000.0,2.1107,0.69,
MOLDTKPAC,2024Q3,32.9,75000.0,2.0973,0.69,
MOLDTKPAC,2024Q4,32.76,25000.0,0.7021,0.23,
MOLDTKPAC,2025Q1,33.08,,,,
MOLDTKPAC,2025Q2,33.08,,,,
MOLDTKPAC,2025Q3,33.07,,,,
MOLDTKPAC,2025Q4,33.03,250000.0,6.9028,2.28,
