nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
MOTILALOFS,2015Q1,0.0,,,,
MOTILALOFS,2015Q2,0.0,,,,
MOTILALOFS,2015Q3,72.11,,,,
MOTILALOFS,2015Q4,0.0,,,,
MOTILALOFS,2016Q1,71.64,,,,
MOTILALOFS,2016Q2,71.35,,,,
MOTILALOFS,2016Q3,71.31,,,,
MOTILALOFS,2016Q4,72.01,,,,
MOTILALOFS,2017Q1,70.75,,,,
MOTILALOFS,2017Q2,70.74,,,,
MOTILALOFS,2017Q3,70.73,,,,
MOTILALOFS,2017Q4,70.86,,,,
MOTILALOFS,2018Q1,70.55,,,,
MOTILALOFS,2018Q2,70.32,,,,
MOTILALOFS,2018Q3,70.3,,,,
MOTILALOFS,2018Q4,70.55,10000.0,0.0142,0.01,
MOTILALOFS,2019Q1,70.12,,,,
MOTILALOFS,2019Q2,69.92,,,,
MOTILALOFS,2019Q3,69.57,0.0,0.0,0.0,
MOTILALOFS,2019Q4,70.29,,,,
MOTILALOFS,2020Q1,69.8,0.0,0.0,0.0,
MOTILALOFS,2020Q2,70.32,0.0,0.0,0.0,
MOTILALOFS,2020Q3,70.49,0.0,0.0,0.0,
MOTILALOFS,2020Q4,69.76,0.0,0.0,0.0,
MOTILALOFS,2021Q1,70.61,0.0,0.0,0.0,
MOTILALOFS,2021Q2,70.48,,,,
MOTILALOFS,2021Q3,70.4,0.0,0.0,0.0,
MOTILALOFS,2021Q4,70.66,0.0,0.0,0.0,
MOTILALOFS,2022Q1,69.5,0.0,0.0,0.0,
MOTILALOFS,2022Q2,69.58,0.0,0.0,0.0,
MOTILALOFS,2022Q3,69.47,0.0,0.0,0.0,
MOTILALOFS,2022Q4,69.5,0.0,0.0,0.0,
MOTILALOFS,2023Q1,69.66,0.0,0.0,0.0,
MOTILALOFS,2023Q2,69.53,2000.0,0.0,0.0,
MOTILALOFS,2023Q3,69.39,2000.0,0.0,0.0,
MOTILALOFS,2023Q4,69.68,0.0,0.0,0.0,
MOTILALOFS,2024Q1,69.04,0.0,0.0,0.0,
MOTILALOFS,2024Q2,68.86,0.0,0.0,0.0,
MOTILALOFS,2024Q3,68.71,0.0,0.0,0.0,
MOTILALOFS,2024Q4,69.16,2000.0,0.0,0.0,
MOTILALOFS,2025Q1,67.8,,,,
MOTILALOFS,2025Q2,67.69,,,,
MOTILALOFS,2025Q3,67.62,,,,
MOTILALOFS,2025Q4,68.44,,,,
