nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
MRF,2015Q1,0.0,,,,
MRF,2015Q2,0.0,,,,
MRF,2015Q3,27.41,,,,
MRF,2015Q4,0.0,,,,
MRF,2016Q1,27.49,,,,
MRF,2016Q2,27.49,,,,
MRF,2016Q3,27.52,,,,
MRF,2016Q4,27.49,,,,
MRF,2017Q1,27.4,,,,
MRF,2017Q2,27.5,,,,
MRF,2017Q3,27.51,,,,
MRF,2017Q4,27.37,,,,
MRF,2018Q1,27.56,400.0,0.1089,0.03,
MRF,2018Q2,27.62,400.0,0.1086,0.03,
MRF,2018Q3,27.64,400.0,0.1085,0.03,
MRF,2018Q4,27.54,400.0,0.1089,0.03,
MRF,2019Q1,27.73,400.0,0.1082,0.03,
MRF,2019Q2,27.75,400.0,0.1081,0.03,
MRF,2019Q3,27.77,400.0,0.108,0.03,
MRF,2019Q4,27.74,400.0,0.1081,0.03,
MRF,2020Q1,27.88,0.0,0.0,0.0,
MRF,2020Q2,27.87,400.0,0.1076,0.03,
MRF,2020Q3,27.84,2.0,0.0,0.0,
MRF,2020Q4,27.88,0.0,0.0,0.0,
MRF,2021Q1,27.82,0.0,0.0,0.0,
MRF,2021Q2,27.84,0.0,0.0,0.0,
MRF,2021Q3,27.9,0.0,0.0,0.0,
MRF,2021Q4,27.84,0.0,0.0,0.0,
MRF,2022Q1,27.94,0.0,0.0,0.0,
MRF,2022Q2,27.87,0.0,0.0,0.0,
MRF,2022Q3,27.87,0.0,0.0,0.0,
MRF,2022Q4,27.95,0.0,0.0,0.0,
MRF,2023Q1,27.77,1100.0,0.3241,0.09,
MRF,2023Q2,27.75,1100.0,0.3243,0.09,
MRF,2023Q3,27.75,1100.0,0.3243,0.09,
MRF,2023Q4,27.84,1100.0,0.3233,0.09,
MRF,2024Q1,27.78,0.0,0.0,0.0,
MRF,2024Q2,27.77,0.0,0.0,0.0,
MRF,2024Q3,27.8,0.0,0.0,0.0,
MRF,2024Q4,27.78,1100.0,0.324,0.09,
MRF,2025Q1,27.78,,,,
MRF,2025Q2,27.74,,,,
MRF,2025Q3,27.73,,,,
MRF,2025Q4,27.78,0.0,0.0,0.0,
MRF,2026Q4,27.77,,,,
