nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
NBCC,2015Q1,0.0,,,,
NBCC,2015Q2,0.0,,,,
NBCC,2015Q3,90.0,,,,
NBCC,2015Q4,0.0,,,,
NBCC,2016Q1,90.0,,,,
NBCC,2016Q2,90.0,,,,
NBCC,2016Q3,75.0,,,,
NBCC,2016Q4,90.0,,,,
NBCC,2017Q1,75.0,,,,
NBCC,2017Q2,75.0,,,,
NBCC,2017Q3,74.5,,,,
NBCC,2017Q4,75.0,,,,
NBCC,2018Q1,73.69,,,,
NBCC,2018Q2,73.75,,,,
NBCC,2018Q3,70.57,,,,
NBCC,2018Q4,74.29,,,,
NBCC,2019Q1,68.18,,,,
NBCC,2019Q2,65.93,,,,
NBCC,2019Q3,64.95,0.0,0.0,0.0,
NBCC,2019Q4,68.18,,,,
NBCC,2020Q1,61.75,0.0,0.0,0.0,
NBCC,2020Q2,61.75,0.0,0.0,0.0,
NBCC,2020Q3,61.75,0.0,0.0,0.0,
NBCC,2020Q4,61.75,0.0,0.0,0.0,
NBCC,2021Q1,61.75,0.0,0.0,0.0,
NBCC,2021Q2,61.75,0.0,0.0,0.0,
NBCC,2021Q3,61.75,0.0,0.0,0.0,
NBCC,2021Q4,61.75,0.0,0.0,0.0,
NBCC,2022Q1,61.75,0.0,0.0,0.0,
NBCC,2022Q2,61.75,0.0,0.0,0.0,
NBCC,2022Q3,61.75,0.0,0.0,0.0,
NBCC,2022Q4,61.75,0.0,0.0,0.0,
NBCC,2023Q1,61.75,0.0,0.0,0.0,
NBCC,2023Q2,61.75,0.0,0.0,0.0,
NBCC,2023Q3,61.75,0.0,0.0,0.0,
NBCC,2023Q4,61.75,0.0,0.0,0.0,
NBCC,2024Q1,61.75,0.0,0.0,0.0,
NBCC,2024Q2,61.75,0.0,0.0,0.0,
NBCC,2024Q3,61.75,0.0,0.0,0.0,
NBCC,2024Q4,61.75,0.0,0.0,0.0,
NBCC,2025Q1,61.75,,,,
NBCC,2025Q2,61.75,,,,
NBCC,2025Q3,61.75,,,,
NBCC,2025Q4,61.75,0.0,0.0,0.0,
NBCC,2026Q4,61.75,,,,
