nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
NHPC,2015Q1,0.0,,,,
NHPC,2015Q2,0.0,,,,
NHPC,2015Q3,85.96,,,,
NHPC,2015Q4,0.0,,,,
NHPC,2016Q1,74.6,,,,
NHPC,2016Q2,74.6,,,,
NHPC,2016Q3,74.51,,,,
NHPC,2016Q4,85.96,,,,
NHPC,2017Q1,74.5,,,,
NHPC,2017Q2,74.5,,,,
NHPC,2017Q3,73.96,,,,
NHPC,2017Q4,74.5,,,,
NHPC,2018Q1,73.64,,,,
NHPC,2018Q2,73.67,,,,
NHPC,2018Q3,73.67,,,,
NHPC,2018Q4,73.96,,,,
NHPC,2019Q1,73.33,,,,
NHPC,2019Q2,73.33,,,,
NHPC,2019Q3,73.11,0.0,0.0,0.0,
NHPC,2019Q4,73.33,,,,
NHPC,2020Q1,70.95,0.0,0.0,0.0,
NHPC,2020Q2,70.95,0.0,0.0,0.0,
NHPC,2020Q3,70.95,0.0,0.0,0.0,
NHPC,2020Q4,70.95,0.0,0.0,0.0,
NHPC,2021Q1,70.95,0.0,0.0,0.0,
NHPC,2021Q2,70.95,,,,
NHPC,2021Q3,70.95,0.0,0.0,0.0,
NHPC,2021Q4,70.95,0.0,0.0,0.0,
NHPC,2022Q1,70.95,0.0,0.0,0.0,
NHPC,2022Q2,70.95,0.0,0.0,0.0,
NHPC,2022Q3,70.95,0.0,0.0,0.0,
NHPC,2022Q4,70.95,0.0,0.0,0.0,
NHPC,2023Q1,70.95,0.0,0.0,0.0,
NHPC,2023Q2,70.95,0.0,0.0,0.0,
NHPC,2023Q3,70.95,0.0,0.0,0.0,
NHPC,2023Q4,70.95,0.0,0.0,0.0,
NHPC,2024Q1,67.4,0.0,0.0,0.0,
NHPC,2024Q2,67.4,0.0,0.0,0.0,
NHPC,2024Q3,67.4,0.0,0.0,0.0,
NHPC,2024Q4,67.4,0.0,0.0,0.0,
NHPC,2025Q1,67.4,,,,
NHPC,2025Q2,67.4,,,,
NHPC,2025Q3,67.4,,,,
NHPC,2025Q4,67.4,0.0,0.0,0.0,
