nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
OBEROIRLTY,2015Q1,0.0,,,,
OBEROIRLTY,2015Q2,0.0,,,,
OBEROIRLTY,2015Q3,72.55,,,,
OBEROIRLTY,2015Q4,0.0,,,,
OBEROIRLTY,2016Q1,72.54,,,,
OBEROIRLTY,2016Q2,72.54,,,,
OBEROIRLTY,2016Q3,72.53,,,,
OBEROIRLTY,2016Q4,72.55,,,,
OBEROIRLTY,2017Q1,72.49,,,,
OBEROIRLTY,2017Q2,72.49,,,,
OBEROIRLTY,2017Q3,72.49,,,,
OBEROIRLTY,2017Q4,72.5,,,,
OBEROIRLTY,2018Q1,67.7,,,,
OBEROIRLTY,2018Q2,67.7,,,,
OBEROIRLTY,2018Q3,67.7,,,,
OBEROIRLTY,2018Q4,72.49,,,,
OBEROIRLTY,2019Q1,67.7,,,,
OBEROIRLTY,2019Q2,67.7,,,,
OBEROIRLTY,2019Q3,67.7,0.0,0.0,0.0,
OBEROIRLTY,2019Q4,67.7,,,,
OBEROIRLTY,2020Q1,67.7,0.0,0.0,0.0,
OBEROIRLTY,2020Q2,67.7,0.0,0.0,0.0,
OBEROIRLTY,2020Q3,67.7,0.0,0.0,0.0,
OBEROIRLTY,2020Q4,67.7,0.0,0.0,0.0,
OBEROIRLTY,2021Q1,67.7,0.0,0.0,0.0,
OBEROIRLTY,2021Q2,67.7,0.0,0.0,0.0,
OBEROIRLTY,2021Q3,67.7,0.0,0.0,0.0,
OBEROIRLTY,2021Q4,67.7,0.0,0.0,0.0,
OBEROIRLTY,2022Q1,67.7,0.0,0.0,0.0,
OBEROIRLTY,2022Q2,67.7,0.0,0.0,0.0,
OBEROIRLTY,2022Q3,67.7,0.0,0.0,0.0,
OBEROIRLTY,2022Q4,67.7,0.0,0.0,0.0,
OBEROIRLTY,2023Q1,67.7,0.0,0.0,0.0,
OBEROIRLTY,2023Q2,67.7,0.0,0.0,0.0,
OBEROIRLTY,2023Q3,67.7,0.0,0.0,0.0,
OBEROIRLTY,2023Q4,67.7,0.0,0.0,0.0,
OBEROIRLTY,2024Q1,67.7,0.0,0.0,0.0,
OBEROIRLTY,2024Q2,67.7,0.0,0.0,0.0,
OBEROIRLTY,2024Q3,67.7,0.0,0.0,0.0,
OBEROIRLTY,2024Q4,67.7,0.0,0.0,0.0,
OBEROIRLTY,2025Q1,67.7,,,,
OBEROIRLTY,2025Q2,67.7,,,,
OBEROIRLTY,2025Q3,67.7,,,,
OBEROIRLTY,2025Q4,67.7,0.0,0.0,0.0,
OBEROIRLTY,2026Q4,67.7,,,,
